gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
FUN_011982,260.942986,-2.087673039,0.24584902,-8.491687442,2.04E-17,1.69E-15
FUN_027925,122.9552939,-1.973686849,0.232715418,-8.481117688,2.23E-17,1.84E-15
FUN_006333,1376.134754,1.137222034,0.134330678,8.465840051,2.54E-17,2.09E-15
FUN_006690,488.0609426,3.01594435,0.356495745,8.459972933,2.67E-17,2.18E-15
FUN_009353,365.7070348,-1.025863938,0.121337763,-8.454613939,2.80E-17,2.28E-15
FUN_013494,272.6063442,1.684511151,0.199608468,8.439076603,3.20E-17,2.59E-15
FUN_027652,986.9325192,1.847692113,0.219056218,8.434785061,3.32E-17,2.68E-15
FUN_024434,16289.91958,1.96821165,0.233387892,8.433220912,3.36E-17,2.70E-15
FUN_029927,752.1125679,-4.825247323,0.572352139,-8.430556987,3.44E-17,2.75E-15
FUN_005655,856.1887702,1.851808482,0.219831183,8.42377528,3.65E-17,2.90E-15
FUN_030696,61.00881077,-1.691692135,0.201102721,-8.412079787,4.03E-17,3.19E-15
FUN_020544,150.2336042,2.438984448,0.29009227,8.407616126,4.18E-17,3.30E-15
FUN_017738,102.7721345,-2.603776367,0.309733663,-8.406501072,4.22E-17,3.32E-15
FUN_010880,1949.88981,0.98995966,0.117874537,8.398418234,4.53E-17,3.54E-15
FUN_006289,2921.845202,3.994822708,0.475906353,8.394136129,4.69E-17,3.66E-15
FUN_013507,32642.40865,-4.194952152,0.500218843,-8.386233766,5.02E-17,3.90E-15
FUN_001132,1712.230885,1.352369477,0.161284231,8.385007431,5.07E-17,3.92E-15
FUN_006674,970.5832087,-0.822909634,0.098199669,-8.379963407,5.29E-17,4.07E-15
FUN_011445,448.7120961,-1.759950307,0.210278358,-8.369621713,5.78E-17,4.42E-15
FUN_030265,1098.647225,-8.167894594,0.975923273,-8.369402409,5.79E-17,4.42E-15
FUN_025737,1410.599692,-1.084827433,0.12969552,-8.364417154,6.04E-17,4.59E-15
FUN_023190,215.3837955,1.078785411,0.129095032,8.356521502,6.46E-17,4.89E-15
FUN_006472,415.2412867,1.009036429,0.121164767,8.327803961,8.24E-17,6.21E-15
FUN_018062,1526.277824,2.37118647,0.285011734,8.319609984,8.83E-17,6.63E-15
FUN_011974,7874.732926,0.631232937,0.075897513,8.316911994,9.03E-17,6.75E-15
FUN_019798,1177.88927,-1.62185506,0.195444574,-8.298286458,1.06E-16,7.87E-15
FUN_018566,1576.904125,0.64483968,0.077738136,8.295023686,1.09E-16,8.05E-15
FUN_002137,363.0767075,-1.507880134,0.182296343,-8.271587422,1.32E-16,9.77E-15
FUN_005256,291.4401328,2.749878451,0.332538201,8.269361067,1.35E-16,9.91E-15
FUN_026864,7170.985043,0.953587325,0.115395859,8.263618217,1.41E-16,1.04E-14
FUN_029740,77.86195551,3.232209731,0.391587372,8.254121461,1.53E-16,1.11E-14
FUN_015622,943.2767484,-1.754945775,0.212613096,-8.254175349,1.53E-16,1.11E-14
FUN_028394,6869.261719,0.798258899,0.096875883,8.240016772,1.72E-16,1.25E-14
FUN_029036,382.0585297,-0.825190164,0.100176388,-8.237371874,1.76E-16,1.27E-14
FUN_022229,179.8068877,1.499299116,0.182123297,8.232330181,1.84E-16,1.32E-14
FUN_012269,40.16914689,6.269552153,0.765338116,8.191872357,2.57E-16,1.84E-14
FUN_008657,67.62108576,4.104645823,0.501493303,8.184846728,2.73E-16,1.94E-14
FUN_010095,3055.957178,-1.683862361,0.205937409,-8.176573506,2.92E-16,2.08E-14
FUN_025384,792.0071198,-3.958374538,0.48497344,-8.162043967,3.29E-16,2.33E-14
FUN_004995,241.6266452,2.331354443,0.286009618,8.151314833,3.60E-16,2.54E-14
FUN_014082,654.7299797,-2.45727826,0.301519103,-8.149660293,3.65E-16,2.56E-14
FUN_023249,457.6191171,-1.143990915,0.140461185,-8.144534102,3.81E-16,2.66E-14
FUN_019635,973.0566226,-1.175522544,0.144392413,-8.141165583,3.91E-16,2.73E-14
FUN_005222,118.8108971,24.60807243,3.026549802,8.130734349,4.27E-16,2.96E-14
FUN_003956,378.7354802,2.679420508,0.329567189,8.130119137,4.29E-16,2.97E-14
FUN_022628,753.5506113,-2.250220234,0.276918521,-8.125928987,4.44E-16,3.06E-14
FUN_010917,1085.707208,-5.148970447,0.633707117,-8.125157999,4.47E-16,3.07E-14
FUN_010871,160.6566409,1.487255582,0.18322706,8.117008383,4.78E-16,3.27E-14
FUN_006170,1072.803372,-0.621823085,0.076629517,-8.114667983,4.87E-16,3.32E-14
FUN_028740,24.68577757,3.00574785,0.370687096,8.108585073,5.12E-16,3.48E-14
FUN_010799,406.3851603,3.287077652,0.405451065,8.107211788,5.18E-16,3.51E-14
FUN_002828,3461.874931,3.400279265,0.41954507,8.104681726,5.29E-16,3.57E-14
FUN_010542,38.00159994,-8.375736901,1.035591586,-8.087876546,6.07E-16,4.08E-14
FUN_005484,7413.124203,1.361965711,0.16844758,8.0853979,6.20E-16,4.15E-14
FUN_020751,414.4443384,3.022320797,0.374325795,8.07403828,6.80E-16,4.54E-14
FUN_024092,10909.62019,-1.493259002,0.184983863,-8.072374409,6.89E-16,4.58E-14
FUN_009547,2248.174272,-1.113457474,0.138101007,-8.062631126,7.47E-16,4.93E-14
FUN_011793,416.4731677,2.07815071,0.257744917,8.06281937,7.46E-16,4.93E-14
FUN_026873,572.3434333,2.158712044,0.267896048,8.058021224,7.75E-16,5.10E-14
FUN_006924,388.1768042,-1.401107232,0.173962853,-8.054059885,8.01E-16,5.25E-14
FUN_018009,411.9340836,2.915752214,0.362114823,8.052010097,8.14E-16,5.32E-14
FUN_030648,52.09950665,1.698977552,0.211289907,8.040978279,8.91E-16,5.80E-14
FUN_013932,1730.242056,-2.637275956,0.328064223,-8.038901436,9.06E-16,5.88E-14
FUN_021634,31.92479767,-8.126648331,1.011241415,-8.036308852,9.26E-16,5.98E-14
FUN_024714,275.8753718,-0.968364862,0.120571571,-8.031452644,9.63E-16,6.20E-14
FUN_011799,163.4081905,2.007067823,0.250439486,8.014182811,1.11E-15,7.10E-14
FUN_018330,520.8680055,1.289200403,0.160867243,8.01406416,1.11E-15,7.10E-14
FUN_015972,835.4331789,-1.808781057,0.225859077,-8.008449709,1.16E-15,7.40E-14
FUN_028070,185.204547,1.728819657,0.216251818,7.994474555,1.30E-15,8.26E-14
FUN_023206,434.5700188,-0.906990547,0.113475801,-7.992810248,1.32E-15,8.35E-14
FUN_022105,1748.712623,0.477100321,0.059760218,7.983577302,1.42E-15,8.97E-14
FUN_020002,9054.67074,1.206451301,0.151242915,7.976911177,1.50E-15,9.43E-14
FUN_029536,9651.167932,2.353634889,0.295500614,7.96490694,1.65E-15,1.04E-13
FUN_028585,161.8934016,-1.931639317,0.242592672,-7.962480071,1.69E-15,1.05E-13
FUN_027065,16308.20728,1.573850554,0.198149738,7.942733455,1.98E-15,1.23E-13
FUN_021833,365.9401869,-1.696045803,0.213717654,-7.935918131,2.09E-15,1.29E-13
FUN_003309,23.77393298,3.389881379,0.427138923,7.936250237,2.08E-15,1.29E-13
FUN_010347,1222.205636,0.396803816,0.050005617,7.935184955,2.10E-15,1.30E-13
FUN_003608,124.7782175,2.238715468,0.282388845,7.927775867,2.23E-15,1.37E-13
FUN_027164,980.1555427,-3.093225586,0.390260438,-7.926054708,2.26E-15,1.38E-13
FUN_019861,1092.899812,1.339903002,0.16919813,7.919136013,2.39E-15,1.46E-13
FUN_022765,358.7225378,-7.231013262,0.913456297,-7.916102049,2.45E-15,1.49E-13
FUN_007814,1405.63312,1.177160009,0.149023183,7.8991737,2.81E-15,1.70E-13
FUN_029599,224.121734,-1.076831751,0.13631878,-7.899364637,2.80E-15,1.70E-13
FUN_014955,184.7464563,1.079832297,0.136767108,7.895409284,2.89E-15,1.74E-13
FUN_016811,1447.975458,0.944914258,0.119675948,7.89560701,2.89E-15,1.74E-13
FUN_024917,536.9370716,1.083525006,0.137263679,7.893748812,2.93E-15,1.75E-13
FUN_022881,225.2945759,-2.159431652,0.273865586,-7.885005497,3.15E-15,1.88E-13
FUN_005163,766.4280234,0.896717526,0.113833452,7.877451774,3.34E-15,1.99E-13
FUN_015198,997.5899352,0.953225553,0.121057012,7.874187041,3.43E-15,2.03E-13
FUN_021756,272.1751496,3.056470795,0.388421509,7.868953498,3.58E-15,2.11E-13
FUN_023741,1346.363192,0.743504438,0.094623826,7.857475971,3.92E-15,2.31E-13
FUN_013709,1009.59042,0.496342119,0.063279785,7.843612561,4.38E-15,2.57E-13
FUN_007303,99.63903277,3.279940299,0.418473903,7.837861042,4.58E-15,2.68E-13
FUN_022602,89.94790458,-2.093142292,0.268433971,-7.797605804,6.31E-15,3.67E-13
