"","logFC","meanExpr","pval","adj.pval"
"FUN_007421",-11.3676579610085,2.93901334036616,6.31544043091403e-06,0.000148296229777613
"FUN_013139",-11.126318226592,2.70462147785781,1.50471865630977e-26,4.14575068457613e-23
"FUN_008732",-9.81014339341279,1.42579193114415,2.55604131208149e-10,2.29640863750104e-08
"FUN_002487",-9.75664784217049,1.38287998654421,2.53126531446621e-14,6.97405781890681e-12
"FUN_012054",-9.31245691728317,7.26356110869325,1.25498529076923e-16,6.10181230638417e-14
"FUN_014624",-9.29766721469369,0.947430433596815,2.59061152310262e-20,2.51914112284761e-17
"FUN_013141",-9.29048965271997,0.943055353291024,9.63886931867433e-07,2.83019802321501e-05
"FUN_000887",-9.25462827096181,4.52874499785563,8.96587508049491e-45,7.41074404778307e-41
"FUN_002467",-9.14223107299748,7.02952998731084,6.61350728273436e-18,4.04918107003266e-15
"FUN_008877",-8.97672541317847,7.7800416033393,4.95018328602334e-54,8.18314799012519e-50
"FUN_016508",-8.83517180179892,0.511250211631741,3.44295020553287e-09,2.30426760516858e-07
"FUN_002484",-8.5409278360386,0.262110184437948,3.51814021506276e-08,1.71054046750595e-06
"FUN_015587",-8.45911387146822,0.183107106300733,6.08696930276475e-09,3.81150339181833e-07
"FUN_002466",-8.38712806068778,7.62404298109518,9.06184748835227e-12,1.17953858921222e-09
"FUN_002485",-8.30372002189885,5.91315014251547,6.30956673567875e-28,2.08606895415011e-24
"FUN_015317",-8.24224940152131,-0.0116259619180754,1.42478719783514e-05,0.000292585803321896
"FUN_002470",-8.22707628341261,6.82006968480409,2.21461549223644e-11,2.56012648266857e-09
"FUN_007424",-8.03382710622024,-0.19302714841066,0.000599784632416322,0.0072267053633194
"FUN_002492",-7.77910852992357,-0.421948169203702,6.11877733879657e-07,1.93033412571844e-05
"FUN_012053",-7.6958322376292,7.25153087919178,5.68311391908889e-15,1.70813738539015e-12
"FUN_010492",-7.60090086340175,2.38539245164405,3.12424027408587e-29,1.29117039927284e-25
"FUN_002486",-7.53362989847312,6.00076138825662,1.8309546269641e-15,6.17704304864152e-13
