"X","logFC","meanExpr","pval","adj.pval"
"FUN_013139","-10.4033124041",156.285972431738,3.27461846594023e-21,6.2925887096124e-19
"FUN_000887","-10.0982483212021",542.025058778593,1.1471841142908e-33,2.36038113370511e-30
"FUN_012054","-9.49127299746275",3869.9305219728,4.84012724670465e-27,2.56576814357209e-24
"FUN_002467","-9.16304167942684",3005.28633718547,8.34917353844701e-17,8.85185136596868e-15
"FUN_008877","-8.96163365794348",5838.85315896791,1.58797886034919e-163,2.44119990201481e-159
"FUN_002485","-8.39315401771226",86.4874965693868,1.31248022073844e-17,1.61414067467296e-15
"FUN_002466","-8.38626771671312",5029.36788269894,1.79774648571171e-16,1.79459459252247e-14
"FUN_002470","-8.2738861033682",2865.32406614485,1.54523333289976e-13,8.66966132360147e-12
"FUN_010492","-8.15547981883579",140.490849803973,3.06390285024163e-22,6.92667331128892e-20
"FUN_012690","-8.06854622615609",100.021871301024,1.57157493843263e-20,2.74543426460509e-18
"FUN_013141","-7.87621821210254",40.5931523291265,0.000194325462166961,0.00137793603777338
"FUN_012053","-7.70452635372694",3707.61644239384,3.10416593826411e-14,1.96380012217836e-12
"FUN_002487","-7.63531388723539",51.2802512537874,1.57907776360007e-10,5.27452185082363e-09
"FUN_005334","-7.40175272322244",610.815573455663,5.57875682629071e-50,2.85874095635224e-46
"FUN_007421","-7.35710288231174",174.792499901279,0.00327783081897734,0.0150477046140681
"FUN_006209","-7.30939030006676",281.796567567146,1.79135490932897e-29,1.14743745921309e-26
"FUN_014624","-7.28238727524942",40.1917396610322,9.92998152668427e-13,4.81557116749897e-11
"FUN_008732","-7.01936692366577",58.6031067618553,8.27827366737432e-05,0.000666991095851915
"FUN_002492","-6.9035614148287",13.8267737603847,3.25337936625706e-06,4.00433955143874e-05
"FUN_005514","-6.85609002895255",472.390931176418,5.60915162518812e-28,3.19368473829692e-25
"FUN_011854","-6.62996018444332",145.313473870806,2.01102256523412e-30,1.47216428073067e-27
"FUN_002484","-6.59598052328244",11.1447702277976,1.20982897522057e-06,1.66136066243425e-05
"FUN_012623","-6.37040613291232",576.647259506731,8.07939748043801e-07,1.16296420849039e-05
"FUN_002486","-6.01867661403656",266.29395310499,0.000481356822120437,0.00300198719126064
"FUN_004069","-5.95408816280276",868.760930630111,0.000892049479552893,0.00506780363975115
"FUN_003330","-5.93458058577194",47.8358816112883,3.70061208981168e-13,1.91547170561195e-11
"FUN_014788","-5.91982163925004",856.276400643496,0.000116576901378075,0.000894726263047999
"FUN_012622","-5.91307547407371",10820.2918588395,1.72939445184498e-32,2.65859809082128e-29
"FUN_003235","-5.84785964948255",223.228926065022,1.42165473379633e-05,0.00014444876551653
"FUN_002465","-5.83103983678365",925.212805384036,8.15888441131277e-09,1.92963892392479e-07
"FUN_002469","-5.70626071264721",3779.45954722664,1.51964746406049e-11,6.18030171031797e-10
"FUN_000190","-5.55266419484295",10590.4746136617,7.8664212521933e-32,9.30234568538212e-29
"FUN_005722","-5.52851108714883",884.022687417649,2.23058650884654e-52,1.71454032002489e-48
"FUN_006426","-5.44240899572061",5.01442026382006,0.000167726320168836,0.00122055178671806
"FUN_002468","-5.39968588073207",815.086156647192,1.70982307165689e-15,1.39814415322241e-13
"FUN_002475","-5.38342878642616",2168.08404441682,1.78545352140949e-09,4.91209168881678e-08
"FUN_010552","-5.35248964855367",532.548964111732,2.3563639702691e-06,2.99870722805851e-05
"FUN_005461","-5.34101000194435",118.782081990779,0.000182663068521888,0.0013109614156802
"FUN_004335","-5.33950936522047",1362.04832056009,1.69141278534851e-10,5.62815773791399e-09
