gene_id,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
FUN_005088,357,493,618,472,935,716,486,829,664,1032
FUN_005089,116,127,119,145,252,214,156,205,188,217
FUN_005090,1379,1437,1130,1064,4829,3900,2664,5231,4031,5339
FUN_005091,230,327,289,230,411,318,340,388,360,551
FUN_005092,454,725,817,800,1033,988,797,1131,937,1147
FUN_005093,0,0,0,0,2,0,0,0,0,0
FUN_005094,1213,2040,1121,1682,1982,1582,1750,1680,1595,2357
FUN_005095,0,0,0,0,0,0,0,0,0,0
FUN_005096,0,0,0,0,0,0,0,0,0,0
FUN_005097,299,360,355,290,480,343,277,460,369,533
FUN_005098,586,779,887,638,801,619,601,820,679,918
FUN_005099,1064,1547,694,817,1675,1321,1227,1653,1642,2039
FUN_005100,60,177,28,63,163,172,94,292,194,335
FUN_005101,146,243,166,167,326,227,174,410,263,404
FUN_005102,359,449,400,347,736,632,377,947,539,838
FUN_005103,1751,2507,1407,1719,3965,3078,2445,3254,3497,4490
FUN_005104,42,66,61,56,97,93,71,79,68,134
FUN_005105,96,81,107,107,203,137,126,159,153,205
FUN_005106,86,90,105,94,230,130,94,213,180,244
FUN_005107,272,406,202,245,848,587,404,887,639,922
FUN_005108,157,256,290,219,392,365,201,342,290,355
FUN_005109,313,332,254,325,752,515,442,700,593,796
