"","GeneID","meanExpr","logFC","pval","adj.pval"
"482","FUN_000482",190.91209026153,"1.66296112868803",8.40960065773106e-08,1.59394921557493e-06
"15354","FUN_015354",604.851306915224,"-2.45669743336674",8.40644707746231e-08,1.59394921557493e-06
"14949","FUN_014949",837.070192010861,"0.826820402050637",8.70232801008912e-08,1.64738099892483e-06
"7788","FUN_007788",1103.97025774601,"-0.578895366576513",8.81545239881973e-08,1.66465490707241e-06
"15502","FUN_015502",9170.01234591281,"0.49087195257541",8.81483297983402e-08,1.66465490707241e-06
"464","FUN_000464",117.740366955352,"1.01860337563979",8.88594431269959e-08,1.67588689515846e-06
"10300","FUN_010300",336.997115207359,"0.964322321105713",8.92799796485049e-08,1.68173427011169e-06
"2856","FUN_002856",159.642964246585,"2.188215979679",8.95135915499086e-08,1.68405051098839e-06
"10749","FUN_010749",582.544983327516,"-1.60697589069271",9.02769815878288e-08,1.69631562934167e-06
"8614","FUN_008614",2041.54266280164,"-0.669538884825401",9.08254105550277e-08,1.70451633618683e-06
"12304","FUN_012304",483.043820877851,"2.59904371053369",9.16852479614994e-08,1.71853383494337e-06
"6096","FUN_006096",15.3160957351632,"3.84080221273307",9.33184456460269e-08,1.74699476350865e-06
"12975","FUN_012975",68.0989188076376,"3.46529141113013",9.3628323853263e-08,1.75064261553644e-06
"11608","FUN_011608",1718.67275687361,"1.11573212105692",9.68770703643321e-08,1.80916443060753e-06
"1026","FUN_001026",489.954867036323,"1.41970021875062",9.72769500111965e-08,1.81440585682648e-06
"10357","FUN_010357",168.484509643364,"-1.60310703362565",9.91657666222479e-08,1.84737205384408e-06
"2149","FUN_002149",193.409710102147,"2.32214938845556",9.9749448655224e-08,1.85597384906175e-06
"16432","FUN_016432",10249.4142154885,"-0.56942369876039",1.04726068442666e-07,1.9461914062239e-06
"2625","FUN_002625",917.531403536818,"-1.51001332757794",1.09104085998792e-07,2.02507827914831e-06
"14854","FUN_014854",798.887037946743,"-1.67792400212634",1.11389632916786e-07,2.06498198902982e-06
"5922","FUN_005922",1889.55108403615,"3.69596289584468",1.11568605736401e-07,2.06578367312412e-06
"14365","FUN_014365",2421.86399922537,"0.31578939994645",1.13425988641445e-07,2.09762277900703e-06
"817","FUN_000817",234.422602220028,"-1.979489569327",1.14620979830622e-07,2.1171496517258e-06
"14547","FUN_014547",21.376155619207,"-2.6155541974872",1.15524823345411e-07,2.1312579531117e-06
"7491","FUN_007491",59.5053873569867,"-2.08335780968123",1.1864911289153e-07,2.18624636587056e-06
"8013","FUN_008013",105.293038845809,"3.31352902394617",1.19940904697746e-07,2.20737674667436e-06
"5941","FUN_005941",7788.4896727088,"-1.6287594868574",1.20566526290599e-07,2.21353743081172e-06
"6785","FUN_006785",77.6528250945675,"1.69850978325828",1.20465454635323e-07,2.21353743081172e-06
"8038","FUN_008038",4467.36341966694,"3.66871647846381",1.21060006928113e-07,2.21991964511553e-06
"13212","FUN_013212",323.708980794707,"-0.683336851562277",1.21643936113902e-07,2.22794308983585e-06
"2728","FUN_002728",2170.4375031827,"4.62147771536981",1.2454414100999e-07,2.27831950261063e-06
"6073","FUN_006073",1422.64033920425,"1.25133712830421",1.25860646532761e-07,2.29963870375585e-06
"7690","FUN_007690",536.458450271132,"0.67827009390255",1.26513162232723e-07,2.30878936352763e-06
"5176","FUN_005176",4281.8362851673,"-2.8228395839881",1.26963232300064e-07,2.314228018691e-06
"10718","FUN_010718",5291.98604710436,"4.79441190985214",1.27340232480711e-07,2.31832337123973e-06
"6115","FUN_006115",2978.09864319871,"5.16816153115405",1.29636018409589e-07,2.35730011970602e-06
"3106","FUN_003106",5059.21993435388,"0.525927648997292",1.29852597589274e-07,2.35842068652595e-06
"12809","FUN_012809",226.659555933179,"1.26394253594276",1.31048257837591e-07,2.37729974289408e-06
"10600","FUN_010600",1185.24112971782,"0.373583500050848",1.33959106200683e-07,2.42721142425524e-06
"7949","FUN_007949",20.1184274580126,"4.70497842891401",1.3454263940552e-07,2.4348858165898e-06
"2324","FUN_002324",995.65635619691,"-0.936487245967718",1.34824133901195e-07,2.4370823253874e-06
"10906","FUN_010906",264.582584734316,"-2.22462997296718",1.36991820050323e-07,2.4733279966381e-06
"11013","FUN_011013",199.863103280871,"1.08535868356467",1.37260904646227e-07,2.47524996293315e-06
"5116","FUN_005116",268.005133771193,"3.25523469674532",1.40684327383276e-07,2.53398279618161e-06
"4524","FUN_004524",168.941265229606,"1.48208519848015",1.41442967684091e-07,2.54463589616059e-06
"13071","FUN_013071",1954.0981237914,"-1.16510124019214",1.4355708881327e-07,2.57962088753007e-06
"12342","FUN_012342",56.8133268181867,"3.29458582765225",1.44344022559457e-07,2.59070285772988e-06
"15401","FUN_015401",579.80792321618,"1.32907923167172",1.44667034395168e-07,2.59344200647169e-06
"10165","FUN_010165",10701.181235677,"0.752738376817595",1.45749358479783e-07,2.60977086595565e-06
"4001","FUN_004001",1018.52985940895,"-0.955387323833295",1.48124247165468e-07,2.64917866258333e-06
"1449","FUN_001449",22.304054302164,"5.38382466891027",1.495149514621e-07,2.67091263057883e-06
"8245","FUN_008245",495.890278378935,"-0.643480885762074",1.51031158649741e-07,2.69483497614193e-06
"14591","FUN_014591",1285.24859265945,"0.42193601412216",1.52466746551905e-07,2.71726449943793e-06
"14724","FUN_014724",1115.41784971677,"0.507059745309862",1.55884598831037e-07,2.77492818036068e-06
"15716","FUN_015716",118.428148259205,"3.59546652994603",1.56892542416825e-07,2.78960805558888e-06
"12670","FUN_012670",63550.9363774938,"1.63819790202781",1.57878037914834e-07,2.80385500240813e-06
"11071","FUN_011071",853.7448826611,"-0.732338635812897",1.58096260325626e-07,2.804458137711e-06
"11460","FUN_011460",244.270614457052,"-1.2835017849692",1.58407858951868e-07,2.80671433439748e-06
"13929","FUN_013929",364.864304928629,"-0.708702671174725",1.6917916170334e-07,2.99407772223818e-06
"9354","FUN_009354",815.085154364785,"-1.53972633085093",1.73515426784545e-07,3.06725295663272e-06
"12894","FUN_012894",432.711372294424,"2.82578097195616",1.74907312684685e-07,3.08827064856253e-06
"7304","FUN_007304",335.508784494491,"-0.899730816521225",1.77045646561996e-07,3.12240410275038e-06
"6225","FUN_006225",188.866558973065,"-1.32122472637242",1.77348054465648e-07,3.12411734834162e-06
