"","logFC","meanExpr","pval","adj.pval"
"FUN_014726",5.07610954942886,-2.5256015344941,3.25501188852967e-09,5.40722574922548e-05
"FUN_006770",-1.43398384505984,3.10536837713499,1.60970362806482e-08,0.000133701983347064
"FUN_008877",8.99122723786035,4.21688894700482,3.83072854008337e-08,0.000161011573768591
"FUN_013025",-1.77245096754142,8.39769853342452,4.50765406325069e-08,0.000161011573768591
"FUN_005765",-1.3142550610312,4.19582472795473,5.03988867675365e-08,0.000161011573768591
"FUN_015180",4.50466630477477,-2.79989834159388,5.81549146768329e-08,0.000161011573768591
"FUN_007339",-1.51148930736369,6.92772895604667,1.09006632367897e-07,0.000232944754279486
"FUN_001047",-1.10541078734195,9.7162973354388,1.12181437168065e-07,0.000232944754279486
"FUN_002096",-1.83017634514223,7.11055716508237,1.81568558876172e-07,0.00026573647622516
"FUN_014661",-0.884910041012144,6.42215797339639,1.83847458556753e-07,0.00026573647622516
"FUN_002782",-2.29902861864581,7.28064871737432,1.99454292337744e-07,0.00026573647622516
"FUN_009171",-0.669675396787511,7.70630099563366,2.13914698495444e-07,0.00026573647622516
"FUN_014060",2.42033817398861,4.8220463154878,2.16832241235995e-07,0.00026573647622516
"FUN_001926",1.03029953266685,6.17430229133063,2.32989285314069e-07,0.00026573647622516
"FUN_011641",-0.942069723898173,7.13863239886493,2.3994986415708e-07,0.00026573647622516
"FUN_000038",-1.24809913385416,5.80696136642727,3.20571343747632e-07,0.00027832874953838
"FUN_010077",1.14432317111742,5.37203671208197,3.22823594790206e-07,0.00027832874953838
"FUN_000344",-1.94900656119941,4.04340456808701,3.73080208478091e-07,0.00027832874953838
"FUN_002437",-1.9498828350152,4.97730569991914,4.06517053276294e-07,0.00027832874953838
"FUN_003726",-2.71287659527796,3.54055849569056,4.45364870800225e-07,0.00027832874953838
"FUN_010292",-4.2216487195374,2.49206340818178,4.55808443848631e-07,0.00027832874953838
"FUN_001495",-0.986473609366697,4.49138287071855,4.63995870675304e-07,0.00027832874953838
"FUN_007559",-5.14068029146086,-3.18903441568106,4.65652825871162e-07,0.00027832874953838
"FUN_000190",5.77424960238139,6.8403156756987,4.8210358923632e-07,0.00027832874953838
"FUN_004521",-1.00697645334446,7.62603703401679,4.90965271308319e-07,0.00027832874953838
"FUN_008692",-0.62094826256088,4.84848022989212,4.94818544273313e-07,0.00027832874953838
"FUN_015181",3.74663319163498,4.55360413622758,5.06270137963087e-07,0.00027832874953838
"FUN_005595",-1.3033101041221,6.11396372902753,5.07192433929061e-07,0.00027832874953838
"FUN_006745",-2.42140141232757,2.90675366006502,5.18933495593576e-07,0.00027832874953838
"FUN_012645",-2.2827632306148,5.41930017169644,5.29870365664858e-07,0.00027832874953838
"FUN_005881",2.1951260415495,5.51527071337902,5.45094932492306e-07,0.00027832874953838
"FUN_010835",1.91310871736386,3.56028170481843,5.56585659297087e-07,0.00027832874953838
"FUN_012956",-2.57481607053171,2.62932387643941,5.71638733931938e-07,0.00027832874953838
"FUN_001857",-1.39615718109229,7.66504018675724,5.91231321083268e-07,0.00027832874953838
"FUN_002954",-0.926100652771059,5.32459780486946,5.99072904736029e-07,0.00027832874953838
"FUN_010397",-0.562035395027762,8.15658816676285,6.18713134060779e-07,0.00027832874953838
"FUN_016443",-2.74405097433419,3.78522234556887,6.19923171979295e-07,0.00027832874953838
"FUN_014515",-0.765856284548036,3.80097314085091,6.47890430281131e-07,0.000283230416521846
"FUN_012169",-1.73001553720952,4.86426247987112,6.66820779059585e-07,0.000284031455941996
"FUN_002347",-1.30418922370462,4.15641100320724,7.17864008918403e-07,0.00029731110104345
"FUN_000128",-0.690995674275131,6.65195676731539,7.50007887387097e-07,0.00029731110104345
"FUN_006418",-1.42489958662665,2.90901777279568,7.53504071921865e-07,0.00029731110104345
"FUN_011892",-1.71072223912476,4.92040440714896,7.94416798498723e-07,0.00029731110104345
"FUN_005315",-2.58085907566558,2.69695048096684,8.08063775808209e-07,0.00029731110104345
"FUN_006034",1.47836858130158,7.55942776000041,8.12437439039685e-07,0.00029731110104345
