"","logFC","meanExpr","pval","adj.pval"
"FUN_002467",10.0979109752792,2.705841641933,2.05981897310439e-07,0.000183211470496825
"FUN_010723",-9.58898906539923,4.29121568750275,9.18793166370459e-05,0.00200601686185682
"FUN_011714",-9.4022697664769,5.14245316464419,9.99715906412247e-05,0.00208929249670049
"FUN_002466",9.30609190452553,3.70987774333332,1.23150855129758e-06,0.000257050584607306
"FUN_002485",9.18739636142368,2.40218727393078,3.71707687215494e-07,0.000185707568296769
"FUN_002486",9.18739636142368,2.40218727393078,3.71707687215494e-07,0.000185707568296769
"FUN_002470",9.09001847430495,3.16652760051307,2.84731734919633e-05,0.00108675538335357
"FUN_012054",9.05525065321074,3.5833930852559,9.71975831093975e-06,0.000632587892276161
"FUN_002024",8.99352195398616,2.3524317446788,0.00115879433311147,0.00897782227081569
"FUN_004907",8.91105386429941,2.93087747867661,1.44213602356401e-05,0.000749683981306182
"FUN_008877",8.9058049503083,4.42584983976023,3.21372828155426e-09,5.31261422223734e-05
"FUN_000887",8.87025960414,0.906864619002245,6.74207700934231e-05,0.00168546840841025
"FUN_012685",8.85356745683466,2.82549256760917,0.000498297662346774,0.00530475673176002
"FUN_004069",8.71261625285185,2.31196662111149,9.66044385506925e-06,0.000631212637818774
"FUN_008133",8.62587427672054,5.50774077517845,3.56814623607075e-05,0.00120700981469846
"FUN_002478",8.56817016643233,3.63399096754341,0.00136978224166416,0.0100125075717385
"FUN_012762",8.43993557317964,2.31149190868316,0.00149698396128297,0.0106163199759626
"FUN_003926",-8.34163410795772,4.38736272507815,8.3936249147227e-06,0.000594764944744311
"FUN_012053",8.3327874584372,3.84236662809774,6.30530594335122e-05,0.00163374627820594
"FUN_010722",-8.26160543539481,3.75590495416542,0.000432557749817822,0.00488429792502624
"FUN_001413",8.18117529778095,4.69592307082001,0.000347509456494974,0.00423648880923186
"FUN_016255",-8.13785355994787,2.95169385808946,0.000120217902336057,0.00231929482966261
"FUN_016376",-8.13785355994787,2.95169385808946,0.000120217902336057,0.00231929482966261
"FUN_002114",8.09534119913572,5.78274747403823,0.000474991773983136,0.00513880171185551
"FUN_010499",-8.0648316034643,3.86635274142025,3.09327448438996e-05,0.001128806192085
"FUN_008820",7.99689983241862,2.03223279681247,7.38851801838165e-05,0.0017712941836657
"FUN_002483",7.99008625160747,3.08239128177368,0.000563396009056315,0.00572998228816917
"FUN_005947",-7.9418394405795,2.18741657964194,0.000799052041094404,0.00711680906690199
"FUN_016330",-7.86824159542847,2.8545054416244,9.46769512176837e-06,0.000626041872231812
"FUN_014991",-7.84652602039831,1.4427899893899,0.00145884586881979,0.0104944216960226
"FUN_003609",-7.74535763382687,-0.447856650812183,1.76034395301844e-05,0.000845937380446156
"FUN_002072",7.74018341279073,3.39619474424957,0.000833811981207673,0.00730465312591173
"FUN_002465",7.73931350665179,2.29788109928489,0.00017314194677613,0.00275212454053481
"FUN_014796",-7.73799899953317,0.916223943469021,0.0038916204185439,0.0204429227690805
"FUN_002474",7.72673447251179,1.12650648449471,1.27359074110574e-05,0.000714789127777871
"FUN_013139",7.71732391803178,-0.591337393254907,0.000682873539936305,0.00645216923325427
"FUN_006445",7.64062178285748,3.09504953817212,0.000390644520398559,0.00457671478859574
"FUN_004068",7.5456173483958,0.860361141622305,0.000695259550019679,0.00651578902783913
"FUN_004072",7.5456173483958,0.860361141622305,0.000695259550019679,0.00651578902783913
"FUN_002481",7.53947760111497,3.05792740688363,0.00153156064823275,0.0107412204366067
"FUN_014797",-7.53907568762275,2.64204850214434,0.000164098276147235,0.00267261931329058
"FUN_006082",7.53756948434316,2.35435773225907,3.1744619100565e-05,0.00115334131505811
"FUN_008657",7.53487894923861,0.5925892653851,5.6951710821563e-05,0.00154491569985494
"FUN_010721",-7.49411178018011,0.416321902518799,2.07912859692341e-05,0.000935243272459647
"FUN_003241",-7.43560680471575,2.23007681413969,0.00298095099674869,0.017010045194081
