"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FUN_008877",3206.74339999591,-8.76911194443819,0.375909881639484,-23.3276973358423,2.32150962183839e-120,3.56862459068997e-116
"FUN_012054",2123.7471873284,-8.92768174288621,0.583391878089173,-15.3030614209572,7.29431843969408e-53,5.60641315274887e-49
"FUN_005722",504.596014353042,-5.50061802886333,0.360237469233828,-15.269422252389,1.22251387956137e-52,6.26416111887245e-49
"FUN_005334",359.027496928079,-7.11228222135235,0.469008787495904,-15.1644967236663,6.0762870910152e-52,2.33511712907714e-48
"FUN_013025",5165.32544709689,1.77756864564796,0.127355183725267,13.9575680679207,2.82924200258494e-44,8.69822161274713e-41
"FUN_015181",587.415893219824,-3.71653191500575,0.293784921211059,-12.6505196375812,1.11137309731315e-36,2.8473378753163e-33
"FUN_014060",475.367770213979,-2.39795475010342,0.191030713475289,-12.5527183900384,3.84093787809104e-36,8.43469958028793e-33
"FUN_001047",11810.3111567589,1.12062328586372,0.0907640244712634,12.3465579274586,5.08404626209445e-35,9.76899489261449e-32
"FUN_002784",189.575396064047,-3.36759882752683,0.273084415505579,-12.3317136984627,6.1132596375717e-35,1.04414474609725e-31
"FUN_003726",237.103326411606,2.68294308342858,0.22005745042488,12.1920120325326,3.42850481724793e-34,5.00460755271782e-31
"FUN_006584",252.36036739281,-3.15148147872443,0.258562719641638,-12.1884604365715,3.58123100962113e-34,5.00460755271782e-31
"FUN_010292",75.8891332183526,3.72726479772162,0.308923283431601,12.0653411303874,1.60993881482244e-33,2.06233162178755e-30
"FUN_005514",260.692438438958,-6.71422166426711,0.558671244966097,-12.0181980453899,2.85121461698846e-33,3.3714516224882e-30
"FUN_000190",6127.86735119108,-5.49481078561649,0.458473353153993,-11.985016681593,4.25758632493203e-33,4.67482978477537e-30
"FUN_005881",710.347355909423,-2.16044322926836,0.181642460834807,-11.8939328356334,1.27269406854828e-32,1.22274082635776e-29
"FUN_012622",6229.79262550565,-5.86150254007156,0.492646283860301,-11.8979940214746,1.21226137464604e-32,1.22274082635776e-29
"FUN_007339",1812.62462491681,1.52312288609814,0.128712549923053,11.8335227373609,2.61914263659484e-32,2.3683212123374e-29
"FUN_002553",454.079353747516,3.44194690511886,0.291445560942363,11.8099136387243,3.46917434409756e-32,2.96267488985932e-29
"FUN_005765",250.85185389465,1.3121637075213,0.111622359506519,11.7553840764732,6.62587793606251e-32,5.36068398069226e-29
"FUN_008903",233.120618389324,-5.62038424993789,0.479199842872297,-11.7286855025862,9.08586927444263e-32,6.98339912433661e-29
"FUN_002096",2293.34740105359,1.8494173604363,0.157936538597826,11.7098764912513,1.13444753043943e-31,8.30415592281659e-29
"FUN_002782",2773.58755700216,2.28037255670814,0.196552726914532,11.6018362731733,4.03329876620649e-31,2.81817584700573e-28
"FUN_012575",1647.25506244599,-5.09776264505237,0.443676561117278,-11.489817339494,1.48425432384733e-30,9.91998150703529e-28
"FUN_002437",463.569312243265,1.9313436512593,0.168860968650173,11.4374782206801,2.71667421778417e-30,1.74002983649076e-27
"FUN_006745",143.03218177013,2.36619073061425,0.207671233921789,11.3939262840099,4.48322669442306e-30,2.75664642986685e-27
"FUN_012645",744.360490474084,2.30484528637309,0.203936210900478,11.3017951848574,1.28562657854615e-29,7.60101990977365e-27
"FUN_014661",1151.04194651609,0.893666583057877,0.0793181158954081,11.2668659986364,1.91256879099382e-29,1.08888916500582e-26
"FUN_000344",287.484102266625,1.92047591925571,0.172601044667021,11.1266761041954,9.30405110642128e-29,5.10792405742528e-26
"FUN_000887",295.1564103438,-9.23491376246284,0.831846635658676,-11.1017023650645,1.23076964560425e-28,6.52392792835467e-26
