"","id","fc","pval","qval","de"
"7662","FUN_014236",5.51848168348889,0.000296318953482144,0.0056724719400837,2.46427138855989
"8039","FUN_014998",4.32468737847806,0.000321975958059606,0.00591800880658853,2.11259584747295
"2774","FUN_004907",0.0070016352996635,0.000331687445004447,0.00599795079534601,-7.15809236786421
"347","FUN_000567",5.54468756701477,0.000331634472867881,0.00599795079534601,2.47110616945506
"2211","FUN_003894",0.210804984601976,0.000329258118456632,0.00599795079534601,-2.24601911417632
"4247","FUN_007626",6.57262711283011,0.000332508774409046,0.00599894862585906,2.71647013844489
"2565","FUN_004525",8.66861061071026,0.000335144895456274,0.00600765605145256,3.11580077941417
"6203","FUN_011716",126.552282498244,0.000368319064019351,0.00615768073516454,6.9835897179203
"1471","FUN_002674",15.5426838887526,0.000363958561523492,0.00615768073516454,3.95816374269127
"949","FUN_001758",9.27721262052927,0.000359300598177792,0.00615768073516454,3.21369140636648
"7060","FUN_013139",0.124351146092801,0.000368759922919626,0.00615768073516454,-3.00750829055103
"2865","FUN_005066",0.131025356289956,0.000361901663944675,0.00615768073516454,-2.93208206286591
"3611","FUN_006493",7.11830489556418,0.000366121350351634,0.00615768073516454,2.83153372856249
"3513","FUN_006292",6.86937646616634,0.000364885039351615,0.00615768073516454,2.78017915144579
"6719","FUN_012553",6.5229378863315,0.000361782022498591,0.00615768073516454,2.70552189074593
"7659","FUN_014230",6.83339360285227,0.000378097109977826,0.00623263236026606,2.77260222830951
"395","FUN_000646",75.1034601213838,0.000385252145243542,0.00629935786240075,6.23080747113513
"396","FUN_000647",61.0199412069229,0.000389663375867322,0.00629935786240075,5.93120888475933
"5504","FUN_010428",11.9915842368637,0.000388125049109012,0.00629935786240075,3.58395036412191
"5224","FUN_009945",0.225664336949813,0.000390083169367283,0.00629935786240075,-2.14774965584798
"2466","FUN_004333",10.6680776489391,0.00039669911629836,0.0063162632856356,3.41522832576357
"375","FUN_000617",5.97088014481573,0.000395790612815583,0.0063162632856356,2.57794360937443
"8725","FUN_016324",10.3584069479394,0.000404205502835708,0.00641973445680243,3.37273023835303
"7745","FUN_014388",0.0167330342614161,0.000407512761224083,0.00645915975786349,-5.90115711158444
"429","FUN_000717",9.26706590598854,0.00041253128151042,0.00647318624093505,3.21211263195483
"6424","FUN_012070",0.141213786373636,0.000418679535475919,0.00652181843741025,-2.82404715244003
"5816","FUN_010952",26.1369418087511,0.000428418474805459,0.00660227195047409,4.70801844124423
"4689","FUN_008859",10.9825272027869,0.000431915785535031,0.00663117764850841,3.45713816775551
"4354","FUN_007854",27.8069742420831,0.000434244367474523,0.00664605912894142,4.79737486425982
"379","FUN_000621",48.1230004038219,0.000438667961465189,0.00665653127572176,5.58865469028515
"6201","FUN_011714",176.845765150615,0.000444336065993811,0.00672949980025443,7.46634786163031
"7944","FUN_014797",45.8940802220066,0.000469629551185236,0.00697760794265729,5.52023617041889
"1861","FUN_003325",39.453690785434,0.000475511249716676,0.0070117760551442,5.3020883616351
"4633","FUN_008651",0.150325571492961,0.000491409944469057,0.00712544419480132,-2.73383765164696
"393","FUN_000643",13.1341182834391,0.000494498316795156,0.00714376719650566,3.71524744794313
"173","FUN_000228",12.5248499197202,0.000513134366731061,0.00727753303921794,3.64672141117231
"1148","FUN_002147",0.0519113863530613,0.000530175601975436,0.0074395608664295,-4.26780517270615
"8268","FUN_015388",13.5104093493217,0.000533458090683503,0.00747223050098717,3.75599948215567
"5668","FUN_010718",45.3157121970817,0.000539354775119016,0.00750115078007442,5.50193945373647
"7912","FUN_014717",12.0800275856652,0.000541281718046571,0.00751460257500825,3.59455184405838
"4026","FUN_007233",5.85969326141028,0.000580551951620767,0.00787161854867462,2.55082514556482
"6031","FUN_011423",0.158332622067199,0.000589241434734933,0.00792742342607307,-2.65896956306449
"8034","FUN_014991",15.2272740284801,0.000610262120945393,0.00807661369876157,3.92858578998962
"3332","FUN_006018",6.95223603118387,0.000607694919331214,0.00807661369876157,2.79747706305536
"6767","FUN_012631",12.2175950485797,0.000643747565951647,0.00840090573566899,3.61088842317411
"3273","FUN_005932",22.5473946242327,0.000660608123216999,0.00849353301278999,4.49488883303076
"3158","FUN_005692",0.22470943807567,0.0006644051237924,0.00851438972061291,-2.15386737411226
"172","FUN_000227",22.5662444367543,0.000674589585517804,0.00852214820037802,4.4960944344052
"6564","FUN_012302",4.01655537481635,0.000671200914308834,0.00852214820037802,2.00595876657374
"2298","FUN_004068",0.0250939867802262,0.000682350076389615,0.0085621812470043,-5.31651449419149
"3037","FUN_005461",0.184694017362407,0.000689551238520103,0.00861114226094483,-2.43679095981431
"5707","FUN_010783",0.228269165341531,0.000700873411446312,0.00871085525654702,-2.13119210178663
"5255","FUN_010004",6.53470559063727,0.000702727952002213,0.00872006317619228,2.7081222394644
"150","FUN_000201",4.60404116989615,0.000714673685629497,0.0087985769787405,2.20290073428236
"5476","FUN_010391",38.1420188450516,0.000728011595871103,0.00891583482273637,5.2533093019534
"5583","FUN_010576",7.92908991752396,0.000728752782445885,0.00891583482273637,2.98715528625435
"6202","FUN_011715",19.3289935813792,0.00073799097280669,0.00893073286704238,4.27269461640171
"5491","FUN_010412",17.7739751178459,0.000734482464298081,0.00893073286704238,4.15169446851379
"3409","FUN_006130",4.70417520547069,0.000737594540165309,0.00893073286704238,2.23394179388102
"6338","FUN_011934",9.66973415393791,0.000795137036162741,0.0094618890473469,3.27347622682026
"156","FUN_000208",0.0879146201736606,0.000808023217610865,0.00951401773517755,-3.50775308472339
"4630","FUN_008633",0.157489924768092,0.000813857972076892,0.00956833021225536,-2.66666855803382
"8745","FUN_016376",41.2434767764792,0.000897220198700532,0.0102259594699056,5.36609405021124
"4205","FUN_007548",0.0959115294636417,0.000901649529686854,0.0102435167388181,-3.38215193865824
"5421","FUN_010289",67.6623263631662,0.000913655028513594,0.0103082404513854,6.08028087555024
"1847","FUN_003301",0.172678025565626,0.000921053287453177,0.0103618494838482,-2.53384359293879
"8273","FUN_015395",0.110925896489422,0.000944203566791257,0.0105165205234361,-3.17233188199862
"5569","FUN_010552",0.0448992524197613,0.000956092326478863,0.0106187275408929,-4.47716476572772
"1395","FUN_002587",111.420479457844,0.000992531660741203,0.0108354520097867,6.79987061901294
"7910","FUN_014714",40.4400687305485,0.000994412721484483,0.0108354520097867,5.33771354408519
"1508","FUN_002728",25.5613959293844,0.00098556589989296,0.0108354520097867,4.67589472011628
"6582","FUN_012325",4.35001837120337,0.00100128703173408,0.0108354520097867,2.12102149383218
"5099","FUN_009768",4.19654874521423,0.00100002888485307,0.0108354520097867,2.06920333860085
"5671","FUN_010722",46.0274458681502,0.00100567985838351,0.0108613424705419,5.52442248236357
"1638","FUN_002977",7.81616784305222,0.00101286609174156,0.0108789320964834,2.96646144782564
"1396","FUN_002588",98.970956895135,0.00101461539577508,0.0108827925327655,6.62893332219472
"7436","FUN_013766",11.097999445474,0.00101727817602382,0.0108964269743728,3.4722277309029
"2888","FUN_005116",7.63858856592788,0.00104374973597698,0.0110739301256095,2.93330608629081
"7128","FUN_013240",0.0434568726822821,0.00104554647372623,0.0110779822588314,-4.52427183320538
"2162","FUN_003818",5.1366862813216,0.00105347506351883,0.0111168594977795,2.36083796502177
"5502","FUN_010424",48.0052131723501,0.0010590794596862,0.0111562700428405,5.58511918008586
"8265","FUN_015385",6.89206986281269,0.00106384138724369,0.0111660563835363,2.78493732579713
"5466","FUN_010376",54.6637753532531,0.00110172021225785,0.0113632036810978,5.77251319791211
"6310","FUN_011887",13.132547723829,0.00112226449698483,0.0114205620787605,3.71507492215984
"356","FUN_000594",7.3777657345835,0.00112309486598283,0.0114205620787605,2.88318398001668
"5422","FUN_010290",9.50204297078542,0.00112775284076139,0.0114382185792249,3.24823773101721
"3396","FUN_006107",9.33565353889075,0.00117779874713642,0.0117896108678806,3.22275102130673
"5356","FUN_010186",28.6906521242,0.00119362230300379,0.0118454532731555,4.84250885510468
"428","FUN_000716",15.2749824818997,0.00119651058206327,0.0118590858956398,3.93309882037877
"6737","FUN_012576",20.6879402550601,0.00120980984987806,0.0119008045428248,4.37071810877863
"4103","FUN_007374",39.2269619361281,0.0012123688941541,0.0119107257731827,5.29377370026399
"4039","FUN_007275",6.89359499031255,0.0012453882134611,0.0120835064577452,2.78525654056307
"6728","FUN_012564",0.110460175838692,0.00127348437152686,0.0122498558096502,-3.17840176577507
"3927","FUN_007061",0.0848877218403524,0.00130942321255501,0.0124966042376979,-3.55830029231
"4474","FUN_008134",0.062945092887094,0.00133290544061127,0.0126504843636196,-3.98976227796864
"8253","FUN_015354",0.221560246949658,0.00134453410539648,0.0127454019918334,-2.17422904325377
"591","FUN_001006",7.49104258260975,0.00139834789210769,0.0130018235229226,2.90516652296783
"2208","FUN_003891",6.0453813450155,0.00143427185567235,0.0131349106782626,2.5958333481113
"6914","FUN_012894",6.05048448268937,0.00146718427515502,0.0132769015269257,2.59705066846798
"2067","FUN_003678",0.177776680688546,0.00147251322878472,0.0132984758724157,-2.49186199941136
"5489","FUN_010409",0.0185645313984087,0.00147668127280576,0.0133207538779598,-5.75130729029574
"6127","FUN_011581",0.21308410940472,0.0014838207061223,0.0133543863551007,-2.23050508570764
"1137","FUN_002125",57.7800872119179,0.00149743749702935,0.013430624973356,5.85250047636183
"3259","FUN_005904",5.01908873637152,0.00150597798771956,0.0134763515929648,2.32742545285005
"1114","FUN_002089",0.00996339597658188,0.00153160084326798,0.0135814661413231,-6.6491467227385
"424","FUN_000712",6.33117137960317,0.00155039210402508,0.013675357085074,2.66247244865836
"6899","FUN_012863",0.0459341493746659,0.00159696737071158,0.013945981388358,-4.44428907719637
"6124","FUN_011578",4.14704695128576,0.00161065058382803,0.0139815898795715,2.05208438097999
"1365","FUN_002538",0.136163280250886,0.00166216187202672,0.0143334002841071,-2.8765903969879
"3400","FUN_006111",11.7438476161245,0.00169258040496623,0.0145316936084271,3.55383324841889
"8033","FUN_014990",21.8416207975887,0.00169813235359872,0.0145633913786178,4.4490080129529
"5503","FUN_010425",39.4111738153144,0.00170354972685693,0.014586146239451,5.3005328139727
"7057","FUN_013136",10.604565857998,0.00170706902593654,0.014586146239451,3.40661365424391
"8125","FUN_015132",17.2456127820288,0.00177418215150171,0.0150150858206385,4.10815748735024
"3401","FUN_006112",39.089104250212,0.00180664613378356,0.0151294537192784,5.28869461968894
"5453","FUN_010354",6.23922861994122,0.00186102292529444,0.0153549099104905,2.64136767412333
"6396","FUN_012035",8.19679417835099,0.00187306617505367,0.0154380085796529,3.03505977225316
"3583","FUN_006445",0.02138388433923,0.00191013241328331,0.0156610856502705,-5.54733225028305
"3285","FUN_005949",16.2084015115422,0.00200607459847291,0.016110322160044,4.01866991275801
"4815","FUN_009207",0.237463976841998,0.00202303391117131,0.0161636280861953,-2.07421942090968
"3624","FUN_006509",4.90735634893634,0.00203642730713072,0.0162212504640037,2.29494603687934
"7211","FUN_013368",0.141935573086514,0.00205541610792936,0.0163520710042159,-2.81669187981095
"4853","FUN_009282",4.03440298779907,0.00207824611698415,0.0163977292111313,2.01235519883969
"7212","FUN_013369",0.114089682503861,0.00210656709502022,0.0165274753046175,-3.13175976490444
"6804","FUN_012685",0.0586186570069635,0.00211245671416527,0.016540536071914,-4.09249627448675
"8329","FUN_015501",0.125055790264164,0.00214456352045156,0.0166917816750852,-2.99935623695264
"7468","FUN_013845",0.205207296562662,0.00216119795618375,0.0167712388472931,-2.28484606507487
"2361","FUN_004171",9.02034060017393,0.00221919282528749,0.0169856107741945,3.17318190941244
"6389","FUN_012028",7.726531195585,0.00225683757876438,0.017189725916075,2.94982086562219
"423","FUN_000711",27.9442863896159,0.00228052600070017,0.0172933382106293,4.80448142840274
"3269","FUN_005928",4.85007957238389,0.0024062995986962,0.0179612257938906,2.27800841693727
"934","FUN_001687",0.141687426317408,0.00244053504930331,0.0181994185105189,-2.81921635917476
"8624","FUN_016114",44.1164537414042,0.002462675088994,0.0182601760860067,5.46324492082768
"6877","FUN_012835",0.0852486241734749,0.00247186582405323,0.0182936761836832,-3.55217963908803
"1515","FUN_002736",0.0268291277572941,0.00248060120625937,0.0183152722357324,-5.22005603792253
"7404","FUN_013728",0.0525127622800607,0.00258834215338333,0.0188527619172014,-4.25118810336528
"4648","FUN_008708",4.53400131062844,0.0025933255070747,0.0188715043869841,2.18078480811374
"4379","FUN_007920",43.8754042812605,0.00262861975625872,0.0190219861547458,5.45534051379476
"1238","FUN_002295",15.7639138460663,0.00272041556563374,0.0194528345926139,3.97855386478959
"5092","FUN_009761",0.0193605128978695,0.00277092640701238,0.0195711733631133,-5.69073901684138
"1512","FUN_002732",0.0286391793564871,0.00277945654914202,0.0195711733631133,-5.12586603639353
"5552","FUN_010509",5.37990636265985,0.002814127345377,0.0197266043995541,2.42758106287449
"4351","FUN_007848",0.180617642222854,0.00291270497934482,0.0201292850734951,-2.46898927679548
"377","FUN_000619",6.07647315575596,0.00294740665246851,0.0201929964802935,2.60323421231618
"427","FUN_000715",23.3154293464143,0.00297014973645648,0.0202934314454226,4.54321309159238
"157","FUN_000209",0.18215977094758,0.00297432153076815,0.0203042175988794,-2.45672371238121
"1895","FUN_003396",9.81725417359084,0.00302377129822973,0.0204810806791858,3.29531956791264
"8823","FUN_016534",12.4882449940511,0.00303592499912653,0.0205456289914959,3.64249884034557
"2516","FUN_004460",8.69511394491737,0.00306386137484149,0.0206632511326519,3.12020493341917
"5537","FUN_010478",16.4622133752605,0.00315948188188209,0.021108142606772,4.04108641672434
"6704","FUN_012524",8.72209950463317,0.00325051895058981,0.0214596988050925,3.12467544926175
"6250","FUN_011799",5.20271985519145,0.00325565544817596,0.0214596988050925,2.37926602628307
"6622","FUN_012395",10.162999746268,0.00326541578738415,0.0214858870716117,3.34525439072871
"632","FUN_001079",12.6918700679323,0.00328002980411357,0.0215458333609138,3.6658327518489
"7408","FUN_013735",32.6811500579574,0.003293802051485,0.0216000586793363,5.03038684806857
"4989","FUN_009599",0.0650674152338772,0.00334982255789296,0.0218575921902515,-3.94192094514639
"1080","FUN_002014",11.2073243912139,0.0033768005099124,0.0219786766355895,3.4863699887074
"2465","FUN_004332",0.0239967110332858,0.00341607019336254,0.0221620453853586,-5.38101950482111
"6082","FUN_011513",67.6184848832841,0.00344642803791095,0.0222243997240728,6.07934578524079
"8645","FUN_016147",0.0713659488089002,0.00346298061847528,0.0222803107992288,-3.80862031163262
"7058","FUN_013137",16.4996103336176,0.00348181373265055,0.0223647264369597,4.04436004806174
"392","FUN_000642",21.8871874072746,0.00353140940552688,0.0225721923634901,4.45201466912837
"4895","FUN_009412",52.080768231693,0.00362822403628349,0.0229483599259442,5.70267882441778
"2916","FUN_005161",0.0615470536688733,0.00362375089465083,0.0229483599259442,-4.02216639495038
"7223","FUN_013398",16.2327763613404,0.00372265008259987,0.0233747795884178,4.02083786619555
"833","FUN_001425",0.139280086335594,0.0039649173207712,0.0245545338113308,-2.84393909250158
