"X","logFC","meanExpr","pval","adj.pval"
"FUN_000887","-10.7185865266503",289.428195666548,4.35891067413488e-27,2.03096178010191e-24
"FUN_013139","-9.91571515779728",111.104648053648,1.09590266080814e-19,1.7812241154391e-17
"FUN_002467","-9.48566099111355",1656.71833241492,5.1025100128465e-14,3.04798653673369e-12
"FUN_012054","-9.22503911251597",3142.0329946695,2.85674130031393e-29,1.66381374565784e-26
"FUN_002487","-9.12832321661471",64.384348781222,3.30421992744852e-14,2.03464256149231e-12
"FUN_008877","-8.95078896155295",4796.55546611364,1.3483080542191e-112,1.88466499818745e-108
"FUN_002485","-8.76407106008349",267.802689505506,1.7344220489547e-37,3.46339305718411e-34
"FUN_002466","-8.42426121614229",3856.70143771952,1.55756173838528e-18,2.03472878309809e-16
"FUN_002470","-8.341634532505",2901.89697816126,1.17881805066517e-13,6.64416077104746e-12
"FUN_012053","-7.76715845154335",3227.74872634451,3.28604163488527e-11,1.18688087784047e-09
"FUN_002486","-7.75457627281316",133.791905791458,1.77344693794932e-30,1.18044006184074e-27
"FUN_011854","-7.61246678696561",50.3486916014588,9.30441220822176e-15,6.47050118639421e-13
"FUN_006209","-7.44643510473597",307.59678474311,4.60845450118612e-32,4.02606106359872e-29
"FUN_008903","-7.36176852363447",28.2990214416011,3.15589307170796e-13,1.62180416751227e-11
"FUN_014624","-7.2334857333635",38.7290335722231,1.4860122233329e-12,6.72216144263664e-11
"FUN_010492","-7.1058502055485",101.682200765142,1.71485589526304e-21,3.52503760352747e-19
"FUN_007421","-7.04238167567003",104.778528936327,0.010485346638354,0.0366502063793227
"FUN_008732","-6.78841991398282",49.4985887078427,7.25264745178572e-05,0.000560096718679894
"FUN_002484","-6.73204252169457",12.2109206812802,2.23206560725494e-06,2.69894576628111e-05
"FUN_005334","-6.70599119761024",365.639087189043,7.70601392972917e-46,3.59048875699181e-42
"FUN_012690","-6.69199231122774",90.0212090582926,4.95896082285611e-26,1.87341498329413e-23
"FUN_005514","-6.54492962479477",314.516267993797,2.94845293060956e-15,2.21577822925056e-13
"FUN_012623","-6.19215375071797",153.931686975031,1.67825698468807e-06,2.09157214528816e-05
"FUN_003330","-6.14898221759971",36.7124728675553,9.26587434824813e-12,3.64840539830457e-10
"FUN_003235","-6.13449228736138",194.652332275721,6.55504639412039e-07,9.16264384970148e-06
"FUN_002465","-6.10700195275088",766.677196915145,1.58781260194525e-05,0.000153594771972254
"FUN_004069","-5.97782494793901",866.247882471619,0.000839256976352002,0.00450331440132372
"FUN_014788","-5.96799057016778",559.706400793532,0.000226634908114688,0.00149641131111342
"FUN_005722","-5.95912827458404",648.283293158098,2.82103735181046e-46,1.97162300518033e-42
"FUN_012622","-5.93046223281576",6926.50289399981,1.02411617411476e-32,1.02250684869829e-29
"FUN_002469","-5.89602701287388",2791.6573407028,4.08756524374572e-11,1.44648068296399e-09
"FUN_000190","-5.69311379272686",5874.70389799086,7.06821695639859e-31,4.93997683082698e-28
"FUN_009753","-5.68256588384949",25.3096831992391,1.05294874301442e-11,4.08607765205241e-10
"FUN_010552","-5.55709405645256",531.614007832342,5.57137285060412e-07,7.95045706653583e-06
"FUN_002468","-5.52713531257711",666.25088505858,1.21226024136456e-11,4.65521254225104e-10
"FUN_002488","-5.48572712058226",359.008481418041,0.00782822144484576,0.0289019755298611
"FUN_012575","-5.47634205522724",933.345237945032,4.43955892477781e-14,2.66335427684739e-12
"FUN_004474","-5.44638530752039",45.353620084929,0.00228795080577459,0.0104274458308175
"FUN_004335","-5.42693425286977",1346.36916309277,4.55165027903276e-11,1.590574190008e-09
"FUN_008657","-5.38869164600647",192.020470680498,0.00234452795209178,0.0106609667255494
"FUN_000231","-5.32157860969385",1207.73259345436,3.3709141118411e-06,3.86023946069852e-05
"FUN_000823","-5.24629899318303",1991.24209425578,4.60001823975842e-13,2.27205141184958e-11
"FUN_013377","-5.21795032153455",253.060482638202,1.66867448467529e-14,1.06505625327814e-12
