"GeneID","logFC","meanExpr","pval","adj.pval"
"FUN_008877","-8.96144623673258",4584.30617850349,6.38998082941564e-177,8.42455072550159e-173
"FUN_013025","1.78685232733507",8512.9955100722,3.59537183186435e-46,2.37006911156498e-42
"FUN_015181","-3.68550528813349",995.869073898214,3.4167683790499e-36,1.50155581031313e-32
"FUN_000190","-5.53976949473926",9501.07295813161,4.56243445465756e-36,1.50377839625513e-32
"FUN_002782","2.28252636903948",4396.98673053618,8.46054137356776e-36,2.23087554938235e-32
"FUN_003726","2.74354664913732",370.017432952815,1.40197699301981e-35,2.937753896915e-32
"FUN_007339","1.51717353760961",2926.44803715562,1.55979044890815e-35,2.937753896915e-32
"FUN_006770","1.444881209014",203.155066118865,3.1064613389255e-35,5.11944828654922e-32
"FUN_001047","1.11534835640784",18999.657252295,3.85894543389582e-35,5.6529262889425e-32
"FUN_012622","-5.86125701336362",9730.97214078411,5.10015816383636e-34,6.72404852320186e-31
"FUN_002784","-3.37504921009869",288.741931127154,6.98127878522122e-34,8.36737995494151e-31
"FUN_000887","-9.35621482090588",477.856764388728,9.75395436967641e-34,1.04096897742318e-30
"FUN_002096","1.83905478455465",3536.23651941894,1.02644089096642e-33,1.04096897742318e-30
"FUN_005765","1.32240098943919",425.835377403885,1.73846571586657e-33,1.63713799985606e-30
"FUN_005334","-7.44892748342947",544.982159230191,1.32599519869804e-32,1.16546137997566e-29
"FUN_014060","-2.39330739159457",823.855185918719,4.04116283380007e-32,3.32991817505125e-29
"FUN_005881","-2.20059062722154",1270.13184245837,2.43483510312583e-31,1.88828623527123e-28
"FUN_006584","-3.290252443233",413.373419246943,2.22412047644927e-30,1.6290446867504e-27
"FUN_009171","0.677690215298466",4498.02969553167,7.24743060455852e-30,5.02895395213156e-27
"FUN_002437","1.96203047750461",828.609741563322,9.78608158463365e-30,6.4509849805905e-27
"FUN_000344","1.94611265757223",431.522454987694,2.18483868566421e-29,1.37166253484747e-26
"FUN_012645","2.28408378727279",1214.88051858096,2.86056505836161e-29,1.71425862406543e-26
"FUN_002553","3.40001299990508",692.323026680228,4.24441530714934e-29,2.43297266997639e-26
