"GeneID","logFC","meanExpr","pval","adj.pval"
"FUN_008877","-8.95202627551235",4800.40708375255,6.44422661927701e-114,8.49155741622132e-110
"FUN_005722","-5.96049557282285",648.815693440922,1.5169467906422e-46,9.99440393014616e-43
"FUN_005334","-6.70711528410133",365.909712763359,6.09678540291341e-46,2.67791137513967e-42
"FUN_013025","1.79949048775638",9825.91596375506,2.58176341546393e-42,8.50497413139204e-39
"FUN_002784","-3.44536456907907",296.824546899287,3.16482522628521e-39,8.34058040135206e-36
"FUN_014060","-2.38741888382899",628.881166371345,4.96034696102198e-39,1.08937486508978e-35
"FUN_002485","-8.76533105272946",268.020424138332,1.75854170007967e-37,3.31032914027854e-34
"FUN_002096","1.92285558172968",3845.29578380773,9.1056317017277e-37,1.49981136167082e-33
"FUN_010292","4.0754400079094",228.767664346826,1.60131718326114e-35,2.34450628042578e-32
"FUN_015181","-3.85478867369228",916.39016708058,5.62731023957911e-35,7.4151067026934e-32
"FUN_005881","-2.46235369884827",1033.64810881132,9.84864848692067e-35,1.17977855556503e-31
"FUN_001047","1.14584959459329",20448.3628399807,3.97437993785533e-33,4.3642003700933e-30
"FUN_002782","2.30859949552845",4588.75533261652,4.62407095965051e-33,4.68702946425498e-30
"FUN_012622","-5.93198433194024",6931.94106349796,5.2035540574874e-33,4.89765941539367e-30
"FUN_002553","3.51802477659674",307.194434860912,1.2966615669042e-32,1.13907396447311e-29
"FUN_006209","-7.44739344054812",307.871746746521,4.28793242793236e-32,3.53138035017905e-29
"FUN_007339","1.54834708358779",2829.96350254077,6.42473847634474e-32,4.97992817075262e-29
"FUN_013170","2.97668431000475",172.467102476483,8.95575983569083e-32,6.55611374193878e-29
"FUN_003726","2.77780595904964",415.380211764551,1.26646478913469e-31,8.78326659285675e-29
"FUN_000190","-5.69482612803958",5879.42976840868,3.6903713744088e-31,2.43140118002923e-28
"FUN_002486","-7.75593814145678",133.902628798529,1.9467443531297e-30,1.22153573053286e-27
"FUN_006584","-3.52310069191936",421.605257757558,6.00404215807445e-30,3.59614834167941e-27
"FUN_012645","2.31685754205079",1375.74617533279,1.22805827465839e-29,7.035706037032e-27
"FUN_012054","-9.22715544447492",3144.84393054795,2.70037947117806e-29,1.42331601166853e-26
"FUN_014661","0.913311104922431",2146.95748707096,2.62089044570368e-29,1.42331601166853e-26
"FUN_012169","1.77100232900872",896.244332095761,1.00267961986932e-28,5.08165744269922e-26
"FUN_002059","-3.46510466857023",475.660737611618,1.08068377191326e-28,5.27413706018557e-26
"FUN_009056","4.25570540666612",83.9589918669275,7.76701238775623e-28,3.65521150833799e-25
"FUN_000887","-10.719588014387",289.659308777054,4.28163481733073e-27,1.94548627544714e-24
"FUN_012629","5.04961473854429",208.88353768526,4.49215215215723e-27,1.97310296363253e-24
"FUN_009386","1.78378329013386",53383.3677939591,1.0543087208766e-26,4.48149226290033e-24
"FUN_000344","2.08334143364728",445.560096162583,1.90712030263783e-26,7.85316382120586e-24
"FUN_002437","1.99096608870684",646.611911446469,2.00012875904571e-26,7.98657474483192e-24
"FUN_013042","2.03044033607075",724.018521003176,3.3539072645565e-26,1.29983635367826e-23
"FUN_001857","1.37306868611241",3926.98396977231,3.55167811444707e-26,1.30001284761303e-23
"FUN_005924","3.96235903500339",404.633936415641,3.51947286600384e-26,1.30001284761303e-23
"FUN_012690","-6.69352542266493",90.0941155341856,6.47018761135631e-26,2.30426113932006e-23
"FUN_000038","1.27329911681398",1558.43820512607,1.52349410410039e-25,5.14745687428995e-23
"FUN_002259","2.43080881294617",361.550825970325,1.51992492874797e-25,5.14745687428995e-23
"FUN_001618","3.74598546814732",1813.1885338943,1.66945607396738e-25,5.49960567166705e-23
"FUN_005315","2.51521660213064",117.629743002375,2.48117326837881e-25,7.97424881888478e-23
"FUN_003017","-2.4239462830871",1236.8491454699,3.09632019873664e-25,9.71433601398873e-23
"FUN_005595","1.37025758936518",1845.82768773816,5.63567097347467e-25,1.72700549808083e-22
"FUN_004521","1.03041303162484",4724.32201883714,1.03964074508826e-24,3.1134877495518e-22
"FUN_006187","-4.42377065024694",9729.93321131513,1.760928394871e-24,5.15638965760338e-22
"FUN_010594","1.87016118058935",2031.94541776007,3.66342971524034e-24,1.04941333386352e-21
"FUN_008871","3.48931982468351",1555.73582124961,3.98434695874072e-24,1.11705829521971e-21
"FUN_010950","2.10034245700679",4721.53895407234,4.49887569506721e-24,1.23503510487293e-21
"FUN_007232","2.60106584169034",4829.26804746724,5.07772000848291e-24,1.36549217452611e-21
"FUN_009349","2.03707159432151",3139.16196923508,5.7979161339743e-24,1.52798281794759e-21
"FUN_008302","1.57069657305677",2546.74891809532,9.52971613645074e-24,2.46221704960807e-21
"FUN_010759","-3.43962393025422",309.876045452355,1.20233478928872e-23,3.04676259970336e-21
"FUN_004040","-1.61706496435535",253.202761112981,2.59222703395709e-23,6.44486332574577e-21
"FUN_003016","-2.72796722375855",2909.37928038917,4.21306429864485e-23,1.02806570857858e-20
"FUN_004781","4.08157637334168",525.196967610218,8.1936743996661e-23,1.96305541026182e-20
"FUN_006034","-1.46656930626935",4579.47154045575,8.80369811562873e-23,2.07154160838642e-20
"FUN_002868","2.85746392079029",2952.81596693102,9.99500097495598e-23,2.31059873415781e-20
"FUN_008006","-1.83148790967719",315.773573851763,1.30361794098246e-22,2.96168510488377e-20
"FUN_007611","1.48361150731876",824.052824300574,1.44309601002389e-22,3.2229959532347e-20
"FUN_008868","-3.18850738753433",1817.03860300039,1.61348172917546e-22,3.54347479089085e-20
"FUN_009385","1.35013322716781",2179.96692249359,1.69395518224098e-22,3.65922089121137e-20
"FUN_002551","3.44262240543241",243.973216485239,1.74278690746996e-22,3.70398436769865e-20
"FUN_006173","4.8276591150302",282.508095576377,2.26021552122336e-22,4.72743808304131e-20
"FUN_008692","0.690217155445965",696.155238579901,2.29650930756676e-22,4.72829736653238e-20
"FUN_009171","0.709550331639043",5482.7366113528,3.96264247317718e-22,8.03319074908548e-20
