"","GeneID","meanExpr","logFC","pval","adj.pval"
"8819","FUN_008877",2049.30339699238,"-9.03585594457552",3.84030911826389e-125,5.77659297569254e-121
"5683","FUN_005722",397.598509858555,"-5.44865088151711",1.15831808611368e-60,8.71171032566101e-57
"11985","FUN_012054",1505.66899305866,"-8.87031930832476",4.12182670422525e-58,2.06668390949854e-54
"10229","FUN_010292",149.601742818179,"4.13367847788241",4.16573727159205e-56,1.56652550098219e-52
"8845","FUN_008903",191.88024571747,"-5.81772791023708",8.93687826591219e-48,2.68857045751702e-44
"12954","FUN_013025",4764.40737574817,"1.77282633223873",5.5538043948862e-47,1.39233876179797e-43
"5299","FUN_005334",245.696469250714,"-7.15034641728657",7.90930757136668e-46,1.69959720697854e-42
"3704","FUN_003726",189.567424455495,"2.77280735755371",1.34823882398934e-45,2.53502604880597e-42
"15916","FUN_015995",114.019969538177,"2.57254608734796",1.00928484796832e-42,1.68685140923772e-39
"15104","FUN_015181",558.946827731024,"-3.70049352537509",2.96875331196046e-42,4.46559873185092e-39
"5725","FUN_005765",233.800960429253,"1.30138922642118",1.01603245069769e-38,1.38937819303588e-35
"5841","FUN_005881",660.227837918373,"-2.27601217987136",1.48236794993093e-37,1.85814822523842e-34
"6541","FUN_006584",238.135375359362,"-3.16923222292262",1.10168779156071e-36,1.27473752005048e-33
"13988","FUN_014060",439.763476880546,"-2.39031399507504",2.70562018659187e-36,2.9069956319082e-33
"1036","FUN_001047",10685.2519524686,"1.11920804435699",4.3699932253353e-36,4.38222920636623e-33
"7294","FUN_007339",1482.85949530609,"1.49470115193",1.06302778901597e-35,9.99379000148636e-33
"2468","FUN_002485",659.097677019837,"-8.21955413004962",1.42361578641467e-34,1.18966825884719e-31
"2469","FUN_002486",659.097677019837,"-8.21955413004962",1.42361578641467e-34,1.18966825884719e-31
"2767","FUN_002784",149.691580199164,"-3.29660339333034",2.89787508160276e-34,2.29420194618256e-31
"189","FUN_000190",5115.89630930995,"-5.48085353069861",9.98105017388228e-34,7.50674783577687e-31
"2080","FUN_002096",2000.09073745223,"1.84123747930243",1.16846456086841e-33,8.36954472599169e-31
"2420","FUN_002437",420.34814763768,"1.95393191798373",2.29754546129898e-33,1.57089449222087e-30
"10770","FUN_010835",168.26204199649,"-1.89630825427647",5.55796234429143e-33,3.63490737316659e-30
"2765","FUN_002782",2465.39031997474,"2.2886858859666",7.269092416063e-33,4.37366752489679e-30
"12551","FUN_012622",5068.36699956529,"-5.8114684750156",7.08907572006284e-33,4.37366752489679e-30
"12099","FUN_012169",369.184237149963,"1.74582251961327",3.56049160396609e-31,2.05988133487915e-28
"2043","FUN_002059",225.024268099204,"-3.34836396953368",6.55929213755093e-31,3.65425453085337e-28
"2536","FUN_002553",399.847025899611,"3.45498384770916",1.10167609953355e-30,5.91836138899414e-28
"7563","FUN_007611",427.115171257739,"1.49655231416504",1.22428793662815e-30,6.35025487681401e-28
"12574","FUN_012645",686.157503129713,"2.29795663577533",1.95486746691172e-30,9.80170547909536e-28
