"GeneID","logFC","meanExpr","pval","adj.pval"
"FUN_008877","-8.76916152129518",3206.68540088966,8.33099316093782e-120,1.20249555284977e-115
"FUN_005722","-5.5006132782903",504.585015042319,1.5968371396861e-52,7.68291575807641e-49
"FUN_012054","-8.92776726037976",2123.71819514938,1.27564077400815e-52,7.68291575807641e-49
"FUN_005334","-7.11225916569024",359.02056312302,7.32149740112124e-52,2.6419623371946e-48
"FUN_013025","1.77759238499824",5165.27941732574,3.04879373807091e-44,8.8012577630631e-41
"FUN_002485","-8.16158939065556",865.352494240436,2.48389926829404e-40,5.1218002912223e-37
"FUN_002486","-8.16158939065556",865.352494240436,2.48389926829404e-40,5.1218002912223e-37
"FUN_015181","-3.71646899122551",587.400590872922,1.37229770281857e-36,2.47596813031041e-33
"FUN_014060","-2.39792718875422",475.359711709592,4.16907194075596e-36,6.68626493254128e-33
"FUN_001047","1.1206423188977",11810.1872576845,4.83875589413244e-35,6.98426025759076e-32
"FUN_002784","-3.36757207140952",189.57192495528,6.16234411514372e-35,8.08611590527131e-32
"FUN_003726","2.68297283373309",237.102175227031,3.45570767037564e-34,4.15664037618349e-31
"FUN_006584","-3.15147092675577",252.356297359607,3.87192055722564e-34,4.29902317869191e-31
"FUN_010292","3.72740362029954",75.8883721766492,1.11879530026904e-33,1.15347795457738e-30
"FUN_005514","-6.71441270083674",260.68474531623,3.9933087130813e-33,3.8426278643077e-30
"FUN_000190","-5.49478564514577",6127.759926621,5.73605857090452e-33,5.17464183827724e-30
"FUN_005881","-2.16041367411907",710.3338355938,1.38439228126689e-32,1.17543048163567e-29
"FUN_012622","-5.86147785530635",6229.6756130418,1.64063454089989e-32,1.31560660907494e-29
"FUN_007339","1.52315729036314",1812.61438008708,2.75158562224362e-32,2.09033615112971e-29
"FUN_002553","3.44193202973259",454.069288580329,3.95896572133257e-32,2.85718556108572e-29
"FUN_005765","1.31217662818534",250.849786243147,4.9854753084384e-32,3.426683362e-29
"FUN_008903","-5.62049803975274",233.117769913025,1.13016522146128e-31,7.41491127571458e-29
"FUN_002096","1.84943237054209",2293.31673334675,1.22723099311935e-31,7.70167484986292e-29
"FUN_002782","2.2804139509113",2773.57830617095,4.65829189400513e-31,2.80157438325292e-28
"FUN_012575","-5.09772597392119",1647.22467201869,1.97047072204538e-30,1.13767097608012e-27
"FUN_002437","1.93136370155628",463.563728428177,2.73248964582158e-30,1.51695213645341e-27
"FUN_006745","2.36623246600314",143.031866371836,3.88201591537579e-30,2.07529695268645e-27
"FUN_012645","2.30485934310391",744.353523097391,1.42365091742179e-29,7.33892047930935e-27
"FUN_014661","0.893692770950104",1151.03181334741,1.6436323333943e-29,8.18075486214254e-27
"FUN_000344","1.92050438667255",287.480558875081,8.76979646813739e-29,4.21944140736984e-26
"FUN_000887","-9.234914765996",295.151361099878,1.30975427416118e-28,6.09838490104596e-26
"FUN_005595","1.34503150155052",1044.81596701803,3.31794582012778e-28,1.47177795915516e-25
"FUN_012169","1.72468595664921",478.229327096108,3.36487963503675e-28,1.47177795915516e-25
"FUN_009171","0.676601780720758",3085.25586323907,6.71567887955886e-28,2.85100320433978e-25
"FUN_000473","1.50444200498902",248.785671273366,3.50778559618851e-27,1.44661077986814e-24
"FUN_006770","1.26123324301999",129.259844529406,4.54529531335451e-27,1.82241090424886e-24
"FUN_009056","4.22375220810735",59.9718791669594,5.53438047013795e-27,2.15900669475598e-24
"FUN_004521","0.991706217749517",2425.29594898792,6.10223028882882e-27,2.31788399970935e-24
"FUN_004788","2.72076177195171",103.28748064869,6.75839810515712e-27,2.43876795624595e-24
"FUN_004789","2.72076177195171",103.28748064869,6.75839810515712e-27,2.43876795624595e-24
