"GeneID","logFC","meanExpr","pval","adj.pval"
"FUN_008877","-8.7691119444382",3206.74339999591,2.32150962183048e-120,3.56862459067782e-116
"FUN_012054","-8.92768174288621",2123.7471873284,7.29431843969547e-53,5.60641315274994e-49
"FUN_005722","-5.50061802886333",504.596014353042,1.22251387956057e-52,6.26416111886835e-49
"FUN_005334","-7.11228222135236",359.027496928079,6.07628709101487e-52,2.33511712907701e-48
"FUN_013025","1.77756864564796",5165.32544709689,2.82924200258494e-44,8.69822161274713e-41
"FUN_015181","-3.71653191500575",587.415893219824,1.11137309731315e-36,2.8473378753163e-33
"FUN_014060","-2.39795475010342",475.367770213979,3.84093787808216e-36,8.43469958026843e-33
"FUN_001047","1.12062328586372",11810.3111567589,5.08404626209445e-35,9.76899489261449e-32
"FUN_002784","-3.36759882752683",189.575396064047,6.11325963757184e-35,1.04414474609727e-31
"FUN_003726","2.68294308342858",237.103326411606,3.42850481725668e-34,5.00460755270985e-31
"FUN_006584","-3.15148147872443",252.36036739281,3.58123100961543e-34,5.00460755270985e-31
"FUN_010292","3.72726479772162",75.8891332183526,1.60993881482314e-33,2.06233162178844e-30
"FUN_005514","-6.71422166426711",260.692438438958,2.85121461698846e-33,3.3714516224882e-30
"FUN_000190","-5.49481078561649",6127.86735119108,4.25758632493322e-33,4.67482978477667e-30
"FUN_005881","-2.16044322926836",710.347355909423,1.27269406854828e-32,1.22274082635776e-29
"FUN_012622","-5.86150254007156",6229.79262550565,1.21226137464575e-32,1.22274082635776e-29
"FUN_007339","1.52312288609814",1812.62462491681,2.61914263659894e-32,2.36832121234111e-29
"FUN_002553","3.44194690511886",454.079353747516,3.46917434409609e-32,2.96267488985806e-29
"FUN_005765","1.3121637075213",250.85185389465,6.6258779360639e-32,5.36068398069339e-29
"FUN_008903","-5.62038424993789",233.120618389324,9.0858692744413e-32,6.98339912433558e-29
"FUN_002096","1.8494173604363",2293.34740105359,1.13444753043943e-31,8.30415592281659e-29
