"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FUN_008877",4796.55546611364,-8.95078896155296,0.396933932311343,-22.5498205946581,1.34830805421693e-112,1.88466499818443e-108
"FUN_005722",648.283293158098,-5.95912827458404,0.417238481598747,-14.2823074510056,2.82103735181046e-46,1.97162300518033e-42
"FUN_005334",365.639087189043,-6.70599119761024,0.471850264195363,-14.2121170771109,7.70601392972917e-46,3.59048875699181e-42
"FUN_013025",9822.81680082479,1.80036199579766,0.132401367400562,13.5977598354472,4.12887144329836e-42,1.44283412586061e-38
"FUN_002784",296.605484453052,-3.44407933883296,0.263019776026598,-13.0943740841931,3.54585309485209e-39,9.9127869119685e-36
"FUN_014060",628.464721173885,-2.38623446830613,0.183418732823085,-13.0097642240706,1.07673786536815e-38,2.50844031368601e-35
"FUN_002485",267.802689505506,-8.76407106008349,0.684926937838862,-12.7956291042321,1.7344220489547e-37,3.46339305718411e-34
"FUN_002096",3844.07685775244,1.92369046419043,0.152266894011974,12.633675078702,1.37693921005124e-36,2.40585703476204e-33
"FUN_010292",228.733840739,4.0763302059206,0.327389114424122,12.4510254810728,1.38059775071715e-35,2.14422170661381e-32
"FUN_015181",915.755515090747,-3.85374946064015,0.313503487027446,-12.2925250279681,9.93533878996512e-35,1.38876165606132e-31
"FUN_005881",1032.97551117245,-2.46117207596279,0.201264314009629,-12.2285567020343,2.18791572708933e-34,2.78024418484133e-31
"FUN_001047",20441.2625990011,1.14679013375397,0.095831204383958,11.9667715868334,5.30530189388113e-33,6.1797924893892e-30
"FUN_002782",4587.45317785598,2.30939562407133,0.193505187445117,11.9345411591425,7.81888447783121e-33,8.40710517162497e-30
"FUN_012622",6926.50289399981,-5.93046223281576,0.497853496918971,-11.9120630256032,1.02411617411476e-32,1.02250684869829e-29
"FUN_002553",307.123375056632,3.51891353445894,0.295760702350017,11.8978400663064,1.21449946489819e-32,1.13175156802312e-29
"FUN_006209",307.59678474311,-7.44643510473597,0.631802719918593,-11.7860130543525,4.60845450118612e-32,4.02606106359872e-29
