"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FUN_008877",3757.46429838029,-8.80670432488551,0.368770282775865,-23.8812744307765,4.79443415805408e-126,6.51132103005325e-122
"FUN_013025",8727.61106305416,1.78010930264606,0.123517520146295,14.4117959989618,4.36217594820755e-47,2.96213557763034e-43
"FUN_002096",3436.57328310965,1.87437876993194,0.144673372396586,12.9559347299502,2.17470843383905e-38,9.8449050799894e-35
"FUN_000190",6527.95567296141,-5.52601230784287,0.432267317538895,-12.7837846712657,2.0199568911729e-37,6.85825863475481e-34
"FUN_015181",924.97947958523,-3.7374324489859,0.293691299716753,-12.7257172840681,4.25548835285157e-37,1.15587574640154e-33
"FUN_001047",18858.1818502861,1.11791991673315,0.0881987814908649,12.6750040968416,8.13544392960708e-37,1.84145773346656e-33
"FUN_002784",286.665025003239,-3.30169481244534,0.262143723888036,-12.5949794390482,2.25018566930783e-36,4.3656816535528e-33
"FUN_014060",655.314643050185,-2.30787208968632,0.183845551720755,-12.5533202630422,3.81184718089593e-36,6.47108707046846e-33
"FUN_007339",2790.07398205999,1.52240403499506,0.122186803193267,12.459643719355,1.23923001472084e-35,1.86999809221375e-32
"FUN_002782",4354.14707873743,2.27785961624936,0.183250176860696,12.4303269730591,1.78901096766355e-35,2.42965579518386e-32
"FUN_012622",7143.28417068489,-5.79961843129048,0.469388294341401,-12.3556946374812,4.53819084997778e-35,5.60301544850439e-32
"FUN_005881",1064.89640619174,-2.37553254865429,0.192600072686279,-12.3340168854647,5.9409607027953e-35,6.72368227538859e-32
"FUN_003726",374.474520950539,2.73465780534666,0.222200146679631,12.3071827188732,8.28655300259739e-35,8.65689817909809e-32
"FUN_006584",408.798571784148,-3.33193161134247,0.272280699091924,-12.2371200839968,1.96895693103602e-34,1.91002886288573e-31
"FUN_005315",134.966163146064,2.41618575820606,0.200703107149159,12.0386066390611,2.22685057898908e-33,2.01619051421671e-30
"FUN_000887",298.405950319811,-8.64910999673907,0.723429860825643,-11.9556994604396,6.06209922729833e-33,5.06705833666196e-30
"FUN_009171",4510.62134906083,0.683000109106434,0.0571455419621603,11.9519403553595,6.34268402350735e-33,5.06705833666196e-30
"FUN_010292",220.274748169885,3.93767206648353,0.34102054235647,11.5467298224148,7.66829892304267e-31,5.7857315374357e-28
"FUN_012645",1235.3992011119,2.26339596642014,0.197013773557792,11.4885163892168,1.50677396878648e-30,1.07702617210996e-27
"FUN_002437",711.880166818712,1.98192724606472,0.173001268406079,11.4561428614074,2.19054691697092e-30,1.4874908839691e-27
"FUN_014661",1969.37387048954,0.893212353752989,0.0784093200500499,11.3916604962629,4.60136320935202e-30,2.97576732124808e-27
"FUN_005334",388.445139018474,-7.02734422655589,0.636113090218569,-11.0473189981695,2.25859416631652e-28,1.39427124421566e-25
"FUN_013170",181.961211776006,2.92548140407972,0.266217872477304,10.9890495963194,4.31445203511311e-28,2.54759013429875e-25
"FUN_002553",682.594362219955,3.41337988322297,0.311583015902974,10.9549613072809,6.29052460176289e-28,3.55965060902258e-25
"FUN_004521",4262.02459256401,0.999922956322491,0.0914671905904658,10.9320396731057,8.10068257127696e-28,4.40061480002049e-25
"FUN_009386",50623.9261702206,1.75955315691099,0.161242503458692,10.9124648846807,1.00493950448154e-27,5.24926285013993e-25
"FUN_011641",3254.55188579279,0.949592531016117,0.0872543213262875,10.8830430009892,1.38848877675523e-27,6.98409854707882e-25
"FUN_005595",1679.37459772437,1.32762840871993,0.122330481331784,10.8528013154722,1.93405270035905e-27,9.38084632984865e-25
