,SRR6819014,SRR6819015,SRR6819016,SRR6819017,SRR6819018,SRR6819019,SRR6819020,SRR6819021,SRR6819022,SRR6819023
FUN_001486,45,23,28,42,50,104,82,10,14,51
FUN_001485,6,4,5,16,21,8,8,9,14,17
FUN_001484,26,32,56,47,79,81,50,86,72,115
FUN_001483,0,0,0,0,0,0,0,0,0,0
FUN_001482,2,2,0,2,0,0,0,5,2,0
FUN_001481,0,0,0,0,0,0,2,0,0,0
FUN_001480,80,128,174,147,249,235,160,248,243,298
FUN_010290,104,117,122,156,322,304,179,263,222,380
FUN_010291,0,0,0,0,0,0,0,0,0,0
FUN_023700,5,5,0,0,9,11,0,9,10,14
FUN_003586,3,0,0,0,0,0,0,0,4,0
FUN_003587,40,52,31,26,43,40,33,64,67,82
FUN_003580,18,19,17,20,21,5,10,15,23,15
FUN_016608,0,0,0,0,0,0,0,0,0,0
FUN_010296,0,0,0,0,9,0,0,4,0,0
FUN_003583,0,0,0,0,0,0,0,0,0,0
FUN_000212,35,80,23,58,42,49,37,71,43,66
FUN_012882,72,111,96,66,120,111,54,79,68,122
FUN_018368,36,37,25,20,43,23,44,46,20,47
FUN_018369,0,0,0,0,0,0,0,0,0,0
FUN_018364,0,0,0,0,0,0,0,0,0,0
FUN_018365,287,459,531,445,600,417,337,591,455,688
FUN_018366,67,96,42,56,38,33,84,63,54,49
FUN_018367,2545,3652,3918,3521,4633,3724,3437,4394,3522,4577
FUN_018360,1373,1746,1246,1485,2879,2326,2189,2464,2163,3089
FUN_018361,11,3,10,4,16,8,7,20,8,7
FUN_018362,0,0,0,0,0,0,0,0,0,0
FUN_018363,1226,1627,2344,1386,2325,1922,1580,2420,1627,2875
FUN_006918,314,469,376,416,682,600,439,667,571,775
FUN_006919,3842,5093,3778,3777,9293,4440,4340,12172,7609,13841
FUN_006910,288,387,332,280,659,552,410,632,648,739
FUN_006911,0,0,0,0,0,0,0,0,0,0
FUN_006912,866,1379,1298,1256,1611,1350,1202,1494,1447,1947
FUN_006913,0,0,0,0,0,0,0,0,0,0
FUN_006914,0,0,0,0,5,0,0,0,0,0
FUN_006915,124,171,191,188,305,268,161,270,217,308
FUN_006916,0,0,0,2,88,234,491,226,212,223
FUN_003247,6,7,3,4,8,5,4,7,5,8
FUN_003246,50,34,13,18,0,5,20,0,0,8
FUN_003245,46,52,36,41,138,94,49,130,100,97
FUN_003244,300,333,175,330,390,337,281,236,267,467
FUN_003243,0,0,0,3,17,20,7,33,28,23
FUN_003242,3,4,3,5,6,4,2,6,6,6
FUN_003241,0,0,0,0,0,0,0,0,0,0
FUN_003240,0,0,0,0,0,0,0,0,0,0
FUN_003249,0,0,0,0,0,0,0,0,0,0
FUN_003248,435,416,360,300,1204,1024,755,1083,949,1340
FUN_000554,0,0,0,1,0,1,0,0,1,1
FUN_013059,1,0,0,0,0,0,0,0,0,0
FUN_013058,83,102,131,100,226,187,84,262,161,274
FUN_013053,318,382,380,330,806,604,432,790,623,878
FUN_013052,16,16,25,22,19,41,22,20,25,37
FUN_013051,0,0,0,0,0,0,0,0,0,0
FUN_013050,0,0,0,0,0,0,0,0,0,0
FUN_013057,1062,1417,882,926,1324,1008,1197,1023,1297,1734
FUN_013056,31,65,15,29,26,26,48,27,37,74
FUN_013055,0,0,0,0,0,0,0,0,0,0
FUN_013054,985,1014,737,184,1780,762,147,1095,1285,1083
FUN_000553,5,7,4,4,9,14,5,5,12,14
FUN_002114,0,0,0,0,0,0,0,0,0,0
FUN_002115,0,1,0,0,0,0,0,0,0,0
FUN_002116,0,0,0,0,0,0,0,0,0,0
FUN_002117,0,0,0,0,0,0,0,0,0,0
FUN_002110,591,780,470,564,1137,815,764,1327,916,1245
FUN_002111,710,824,714,590,823,598,683,527,368,666
FUN_002112,6,9,0,17,6,7,0,18,12,17
FUN_002113,28,18,15,13,87,61,36,98,77,126
FUN_002118,7,8,5,4,4,2,4,2,3,4
FUN_002119,22,25,14,22,37,56,26,44,24,50
FUN_009879,3,17,6,9,21,17,19,19,20,29
FUN_005652,2,2,2,5,9,8,2,8,6,10
FUN_012861,0,0,0,0,0,0,0,0,0,0
FUN_012860,9,17,12,9,5,3,12,5,8,12
FUN_012863,834,1081,781,815,1424,1079,949,1261,971,1610
FUN_012862,997,1355,1058,1023,2499,1769,1478,2506,2040,2867
