,SRR6819014,SRR6819015,SRR6819016,SRR6819017,SRR6819018,SRR6819019,SRR6819020,SRR6819021,SRR6819022,SRR6819023
FUN_015999-T1,399,519,464,391,761,684,503,746,681,874
FUN_001205-T1,0,0,0,0,0,0,0,0,0,0
FUN_027402-T1,1879,2775,3114,2716,3497,2915,2571,3455,2654,3539
FUN_007674-T1,111,83,16,46,117,98,110,140,115,139
FUN_026725-T1,0,0,0,0,0,0,0,0,0,0
FUN_021201-T1,29,25,29,13,53,45,17,23,16,73
FUN_021050-T1,2102,2519,1441,1701,2630,1873,2028,2208,1976,2693
FUN_016457-T1,0,0,0,1,0,0,0,0,0,3
FUN_003957-T1,0,0,0,1,2,0,2,0,0,0
FUN_028875-T1,0,0,0,0,12,1,0,1,1,4
FUN_028875-T2,65,70,53,62,125,101,94,151,121,169
FUN_013250-T1,92,110,53,98,219,173,120,227,155,245
FUN_022889-T1,34,79,48,42,117,105,44,135,121,206
FUN_002649-T1,4,29,10,10,26,29,9,20,17,29
FUN_009449-T1,737,678,590,258,3025,2299,726,3904,3845,3634
FUN_024487-T1,0,0,0,0,0,0,0,0,0,0
FUN_027734-T1,304,389,321,329,607,439,347,520,390,639
FUN_020966-T1,913,1421,810,993,1588,1091,1445,1552,1148,1538
FUN_026958-T1,59,84,27,63,93,77,74,93,87,106
FUN_019492-T1,125,172,148,125,321,187,204,294,160,328
FUN_024696-T1,2483,3269,2785,3285,6042,4315,3257,5734,4337,5907
FUN_028053-T1,6,18,6,16,15,16,27,20,20,25
FUN_029475-T1,2,0,0,0,7,0,0,2,0,0
FUN_016214-T1,0,0,0,0,0,0,0,0,0,0
FUN_028017-T1,0,0,0,2,0,1,0,0,0,0
FUN_016505-T1,0,0,2,0,0,0,2,0,2,0
FUN_007467-T1,85,92,111,78,34,46,79,7,13,53
FUN_028317-T1,512,702,581,651,1244,1015,931,1229,1102,1590
FUN_016073-T1,117,149,196,224,347,308,212,339,296,369
FUN_012291-T1,45,70,64,88,72,94,51,16,9,170
FUN_002830-T1,0,0,2,0,3,0,0,0,0,2
FUN_024788-T1,890,1125,1416,1205,1783,1272,982,1445,1012,1429
FUN_009985-T1,0,0,0,0,0,0,0,0,0,0
FUN_000619-T1,16,12,15,18,39,18,17,26,22,32
FUN_003779-T1,0,0,0,0,0,0,0,0,0,0
FUN_018576-T1,0,0,0,0,0,0,0,0,0,0
FUN_025160-T1,6,14,14,0,62,10,11,6,8,113
FUN_003191-T1,4,0,0,0,66,20,6,39,39,53
FUN_019931-T1,41,54,43,47,125,77,41,130,88,99
FUN_023472-T1,500,611,389,514,1037,391,541,1228,614,1144
FUN_003946-T1,144,206,262,217,374,296,207,362,265,381
FUN_026269-T1,8,16,13,14,3,7,10,0,0,0
FUN_011251-T1,35,44,42,37,93,30,47,95,84,75
FUN_025265-T1,169,214,207,279,411,265,249,382,269,382
FUN_026598-T1,103,179,126,230,347,335,377,478,355,484
FUN_028701-T1,3554,4090,4643,4785,104,2114,4135,43,42,58
FUN_017795-T1,333,556,496,346,636,633,492,719,686,1007
FUN_007008-T1,0,0,0,0,0,0,0,0,0,0
FUN_012640-T1,0,0,0,72,295,52,0,0,275,55
FUN_012640-T2,274,294,267,146,400,537,533,654,294,742
FUN_000315-T1,0,1,0,0,1,4,0,1,2,2
FUN_005372-T1,0,0,0,0,0,0,0,0,0,0
FUN_006326-T1,477,698,739,679,825,775,601,730,738,1050
FUN_028971-T1,2,3,1,4,2,0,0,2,2,0
FUN_028614-T1,3,4,4,3,190,593,71,384,332,521
FUN_017002-T1,0,0,0,0,0,0,0,0,0,0
FUN_028079-T1,1,1,0,1,3,1,1,1,4,4
FUN_020068-T1,102,108,179,114,187,114,97,104,181,169
FUN_023279-T1,0,0,0,0,0,0,0,0,0,0
FUN_026915-T1,1064,1906,1421,1488,773,685,1135,616,590,775
FUN_022426-T1,0,0,0,3,0,0,3,0,6,5
FUN_006860-T1,930,1419,1388,1365,2240,2114,1434,2385,1837,2396
FUN_011533-T1,6,5,8,6,4,7,5,6,6,9
FUN_020651-T1,4,5,5,5,6,10,9,3,10,11
FUN_014514-T1,13,21,31,17,45,31,7,84,36,56
FUN_021544-T1,0,0,0,0,0,0,0,0,0,0
FUN_017961-T1,582,770,615,611,1228,954,771,1281,915,1384
FUN_000915-T1,13,4,4,8,11,8,9,8,18,6
FUN_008760-T1,73,99,88,110,270,220,116,232,183,297
FUN_018442-T1,68,73,30,54,65,34,69,11,22,69
FUN_006330-T1,0,0,0,0,0,0,0,0,0,0
FUN_010640-T1,29,35,39,25,30,25,29,32,19,41
FUN_002228-T1,0,0,0,0,0,0,0,0,0,0
FUN_018136-T1,37,85,99,71,118,98,42,94,81,145
FUN_023409-T1,4114,7174,8224,5816,1614,1808,4539,1166,2038,2048
FUN_024228-T1,80,125,178,135,209,199,87,155,123,183
FUN_003734-T1,1052,1297,836,957,2024,1686,1378,1897,1834,2394
FUN_006858-T1,78,81,67,79,177,124,94,171,148,163
FUN_000372-T1,0,0,0,0,0,0,0,0,0,0
FUN_018294-T1,6746,8596,8087,7216,15278,10630,9110,15055,11987,17113
FUN_014263-T1,0,0,0,0,0,0,0,0,0,0
FUN_007727-T1,0,86,30,97,13,6,10,0,4,23
FUN_002796-T1,2,6,4,3,0,4,0,3,3,4
FUN_008139-T1,0,8,0,0,7,0,0,7,5,10
FUN_021644-T1,1189,994,799,402,345,394,660,79,123,170
FUN_008965-T1,8,20,34,42,9,9,26,0,8,31
FUN_008965-T2,0,0,0,0,0,0,0,0,0,0
FUN_017750-T1,0,0,0,0,0,0,0,0,0,0
FUN_004670-T1,0,0,0,0,0,0,0,0,0,0
FUN_009366-T1,0,0,0,0,0,0,1,0,0,0
FUN_026389-T1,152,193,148,204,315,274,178,319,223,397
FUN_026632-T1,0,0,0,0,11,0,0,10,0,6
FUN_029264-T1,9,18,12,13,34,37,28,39,26,48
FUN_020765-T1,91,116,96,70,5310,13255,11881,12005,13985,14849
FUN_022468-T1,417,538,455,428,693,571,510,604,621,821
FUN_008900-T1,38,51,39,40,63,52,44,58,59,62
FUN_018897-T1,325,389,144,288,415,410,422,732,382,511
FUN_021415-T1,96,127,122,152,169,183,140,211,167,194
FUN_010826-T1,138,159,186,156,375,249,160,276,297,420
FUN_024741-T1,17,31,25,31,50,64,36,52,20,74
FUN_024990-T1,256,347,160,236,561,264,307,703,519,478
FUN_004632-T1,862,1068,1025,990,1290,1060,1005,1064,904,1330
FUN_018717-T2,201,155,68,154,425,251,234,432,289,330
FUN_010632-T1,0,0,0,0,0,0,0,0,0,0
FUN_006935-T1,0,0,0,0,0,0,0,0,0,3
FUN_023147-T1,0,7,7,3,7,5,0,4,1,4
FUN_030173-T1,484,1121,1281,1067,1372,1087,1022,1276,1095,1306
FUN_018725-T1,0,6,0,4,0,8,748,2,4,4
FUN_022358-T1,29,67,32,57,110,76,70,67,62,120
FUN_017386-T1,0,0,0,0,0,0,0,0,0,0
FUN_003634-T1,0,0,0,0,0,0,0,0,0,0
FUN_005396-T1,0,0,0,0,0,0,0,0,0,0
FUN_004765-T2,95,0,59,0,0,0,0,0,0,0
FUN_010247-T1,480,680,579,575,725,717,553,585,547,790
FUN_014611-T1,80,73,14,49,142,134,69,208,133,164
FUN_022621-T1,464,943,655,666,1042,830,647,746,715,1140
FUN_009252-T1,42,56,11,18,77,30,46,58,54,64
FUN_026015-T1,718,913,750,890,1419,1131,977,1470,1258,1769
FUN_024775-T1,288,367,351,273,497,468,341,484,415,501
FUN_018592-T1,0,6,2,0,2,0,0,2,3,1
FUN_007244-T1,22,31,17,30,29,25,21,15,18,14
FUN_005021-T1,15,8,6,7,20,10,15,21,12,35
FUN_009067-T1,39,74,17,77,106,80,55,72,87,127
FUN_018252-T1,88,84,37,59,182,140,115,208,176,186
FUN_012319-T1,0,0,0,0,0,0,0,0,0,0
FUN_026356-T1,0,0,0,0,0,0,0,0,0,0
FUN_007798-T1,0,0,0,0,0,0,0,0,0,0
FUN_003385-T1,0,0,0,0,0,0,0,0,0,0
FUN_002989-T1,54,46,13,45,95,79,104,92,81,138
FUN_010129-T1,370,395,518,414,663,445,352,535,426,810
FUN_027825-T1,0,0,0,0,0,0,0,0,0,0
FUN_020914-T2,918,1019,1085,932,1704,1468,1732,1939,1468,1636
FUN_013436-T1,177,244,209,170,234,205,155,172,183,297
FUN_020914-T1,159,316,230,239,586,430,228,438,274,974
FUN_004887-T1,0,0,0,0,0,0,0,0,0,0
FUN_007715-T1,127,163,193,144,189,232,147,203,180,243
FUN_025086-T1,722,1228,1192,920,1635,1573,1069,1772,1058,2225
FUN_009414-T1,0,25,8,5,2,2,13,0,9,3
FUN_014372-T1,356,315,264,262,448,371,345,382,335,456
FUN_008128-T1,126,188,176,167,416,316,187,412,319,470
FUN_017832-T1,810,1085,1365,1345,1750,1220,1057,1666,1365,1740
FUN_028860-T1,57,81,89,76,131,83,76,143,104,140
FUN_027722-T1,7,11,0,0,11,0,4,6,0,13
FUN_028067-T1,2,0,0,0,0,2,1,3,2,0
FUN_007871-T1,49,41,40,50,97,79,39,63,60,139
FUN_001222-T1,0,0,0,0,0,0,0,0,0,0
FUN_003587-T1,40,52,31,26,43,40,33,64,67,82
FUN_029136-T1,0,0,0,0,0,0,0,0,0,1
FUN_011107-T1,203,380,186,245,414,328,261,349,353,398
FUN_015414-T1,391,522,392,388,1338,1381,1008,1510,1359,1853
FUN_016823-T1,142,239,158,272,362,315,269,340,247,417
FUN_001817-T1,0,0,0,0,3,0,0,0,0,0
FUN_026641-T1,1195,1850,1099,1150,2703,1717,1647,2008,1949,2722
FUN_020428-T1,108,136,112,95,396,307,141,324,335,376
FUN_008013-T1,128,200,54,124,199,157,138,168,147,245
FUN_009726-T1,15,30,0,26,38,14,20,19,24,21
FUN_014179-T1,0,0,0,0,0,0,0,0,0,0
FUN_024542-T1,0,0,0,0,0,0,0,0,0,0
FUN_015699-T1,809,898,513,324,1375,626,370,321,282,1189
FUN_015812-T1,8,9,7,17,23,20,15,11,16,34
FUN_007056-T1,70,108,106,93,172,107,105,145,91,148
FUN_024195-T1,10,9,5,0,16,15,7,12,17,23
FUN_027360-T1,15,37,16,7,101,45,10,82,54,76
FUN_027431-T1,250,354,346,280,551,485,335,467,386,585
FUN_023246-T1,1625,1947,2543,2175,17,624,1946,8,26,33
FUN_000523-T1,403,540,481,530,614,472,567,645,384,622
FUN_017398-T1,25,52,12,26,71,59,42,25,41,82
FUN_022802-T1,712,1229,663,888,1360,1138,929,1075,1198,1564
FUN_028443-T1,626,993,908,980,1461,897,832,1201,946,1197
FUN_018163-T1,201,286,194,247,476,575,397,548,426,657
FUN_013223-T1,32,59,64,65,59,71,59,89,74,97
FUN_002030-T1,0,0,0,0,0,0,0,0,0,0
FUN_005024-T1,24687,31584,29756,24957,38001,30126,27160,32758,26435,34724
FUN_005024-T2,924,903,819,2115,4485,4470,1904,6457,5411,6773
FUN_016317-T1,215,379,255,237,420,262,266,389,341,536
FUN_027609-T1,0,0,0,0,0,0,0,0,0,0
FUN_021178-T1,0,0,0,0,0,0,0,0,0,0
FUN_014222-T1,0,0,0,0,0,0,0,0,0,0
FUN_007511-T1,422,436,299,380,1142,781,503,1110,894,1226
FUN_000917-T1,0,0,0,0,2,0,3,0,0,0
FUN_017239-T1,0,0,0,0,0,0,0,0,0,0
